name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Fractal Analyt.,FRACTAL,/company/FRACTAL/consolidated/,749.15,12979.37,Jun 2026,Mar 2026,True,16.97,16.97,0.0,40.48,40.87,0.39,13.25,12.26,-0.99,,,,29.3,29.91,0.61,101465.0,87200.0,-14265.0
Fredun Pharma,FREDUN,/company/FREDUN/,1354.65,2240.34,Jul 2026,Jun 2026,True,44.57,44.57,0.0,1.06,1.06,0.0,2.94,2.94,0.0,,,,51.45,51.43,-0.02,8903.0,9598.0,695.0
FSN E-Commerce,NYKAA,/company/NYKAA/consolidated/,333.15,95424.02,Jun 2026,Mar 2026,True,52.09,52.07,-0.02,12.4,13.73,1.33,25.35,24.08,-1.27,,,,10.15,10.12,-0.03,395677.0,383806.0,-11871.0
Fusion Finance,FUSION,/company/FUSION/,175.90,2848.04,Jun 2026,Mar 2026,True,54.55,53.97,-0.58,4.75,4.77,0.02,14.43,15.25,0.82,,,,26.06,25.78,-0.28,70009.0,68121.0,-1888.0
G N F C,GNFC,/company/GNFC/consolidated/,629.60,9251.42,Jun 2026,Mar 2026,True,41.3,41.3,0.0,12.05,13.11,1.06,11.07,11.02,-0.05,,,,35.58,34.57,-1.01,265793.0,260335.0,-5458.0
G R Infraproject,GRINFRA,/company/GRINFRA/consolidated/,811.20,7849.21,Jun 2026,Mar 2026,True,74.69,74.69,0.0,2.31,2.46,0.15,19.62,19.48,-0.14,,,,3.38,3.38,0.0,61528.0,60541.0,-987.0
G S F C,GSFC,/company/GSFC/consolidated/,156.85,6250.14,Jun 2026,Mar 2026,True,37.84,37.84,0.0,12.35,12.36,0.01,7.3,7.32,0.02,5.65,5.65,0.0,36.83,36.82,-0.01,303830.0,298987.0,-4843.0
Gabriel India,GABRIEL,/company/GABRIEL/consolidated/,1386.00,24564.07,Sep 2026,Jun 2026,True,63.55,66.29,2.74,6.35,6.0,-0.35,12.92,11.91,-1.01,,,,17.17,15.8,-1.37,134530.0,136534.0,2004.0
GAIL (India),GAIL,/company/GAIL/consolidated/,172.55,113453.39,Jun 2026,Mar 2026,True,51.88,51.79,-0.09,13.04,15.0,1.96,20.5,19.09,-1.41,7.61,7.59,-0.02,6.98,6.52,-0.46,1617716.0,1566827.0,-50889.0
Galaxy Surfact.,GALAXYSURF,/company/GALAXYSURF/consolidated/,2259.85,8012.23,Jun 2026,Mar 2026,True,70.91,70.91,0.0,3.99,3.81,-0.18,13.11,13.52,0.41,,,,11.99,11.75,-0.24,47746.0,46661.0,-1085.0
Gandhar Oil Ref.,GANDHAR,/company/GANDHAR/consolidated/,262.00,2564.43,Jun 2026,Mar 2026,True,66.47,66.6,0.13,0.14,1.27,1.13,0.09,1.02,0.93,,,,33.3,31.1,-2.2,139482.0,134265.0,-5217.0
Gandhi Spl. Tube,GANDHITUBE,/company/GANDHITUBE/,974.45,1099.54,Sep 2026,Jun 2026,True,73.52,71.7,-1.82,1.23,1.32,0.09,0.05,0.02,-0.03,,,,25.2,26.96,1.76,13841.0,12278.0,-1563.0
Ganesha Ecosphe.,GANECOS,/company/GANECOS/consolidated/,1021.00,2735.89,Jun 2026,Mar 2026,True,39.33,39.33,0.0,8.89,10.38,1.49,19.42,15.07,-4.35,,,,32.15,35.0,2.85,58405.0,58781.0,376.0
Garware Hi Tech,GRWRHITECH,/company/GRWRHITECH/consolidated/,6652.00,15454.21,Jun 2026,Mar 2026,True,60.73,60.73,0.0,3.98,4.22,0.24,5.28,6.35,1.07,,,,30.04,28.72,-1.32,54492.0,56759.0,2267.0
Garware Tech.,GARFIBRES,/company/GARFIBRES/consolidated/,777.80,7595.07,Jun 2026,Mar 2026,True,53.36,54.25,0.89,9.12,8.67,-0.45,10.29,10.11,-0.18,,,,27.24,26.98,-0.26,41415.0,39254.0,-2161.0
Gateway Distri,GATEWAY,/company/GATEWAY/consolidated/,52.50,2623.15,Jun 2026,Mar 2026,True,33.93,33.93,0.0,6.66,6.98,0.32,33.99,32.42,-1.57,,,,25.43,26.68,1.25,127411.0,126958.0,-453.0
Gayatri Projects,GAYAPROJ,/company/GAYAPROJ/consolidated/,23.00,1067.88,Jun 2026,Mar 2026,True,3.94,23.56,19.62,1.91,17.99,16.08,2.75,0.68,-2.07,,,,91.41,57.76,-33.65,44165.0,43853.0,-312.0
GE Shipping Co,GESHIP,/company/GESHIP/consolidated/,1485.50,21208.09,Jun 2026,Mar 2026,True,30.08,30.08,0.0,28.44,31.03,2.59,15.25,12.81,-2.44,,,,26.25,26.08,-0.17,156718.0,168304.0,11586.0
GE Vernova T&D,GVT&D,/company/GVT&D/,4277.65,109529.20,Jun 2026,Mar 2026,True,51.0,51.0,0.0,20.39,22.89,2.5,21.39,18.46,-2.93,,,,7.22,7.65,0.43,110662.0,138122.0,27460.0
General Insuranc,GICRE,/company/GICRE/consolidated/,337.40,59193.48,Jun 2026,Mar 2026,True,82.4,77.4,-5.0,2.05,2.43,0.38,13.55,17.73,4.18,,,,2.0,2.45,0.45,217494.0,224351.0,6857.0
GK Energy,GKENERGY,/company/GKENERGY/,123.75,2509.91,Jun 2026,Mar 2026,True,79.2,79.2,0.0,0.79,1.3,0.51,8.29,7.16,-1.13,,,,11.72,12.35,0.63,50033.0,53494.0,3461.0
Gland Pharma,GLAND,/company/GLAND/consolidated/,2920.50,48191.36,Jun 2026,Mar 2026,True,51.83,51.77,-0.06,7.29,8.74,1.45,33.36,30.44,-2.92,,,,7.52,9.06,1.54,91500.0,108266.0,16766.0
Glaxosmi. Pharma,GLAXO,/company/GLAXO/consolidated/,2820.00,47772.50,Jun 2026,Mar 2026,True,75.0,75.0,0.0,4.62,4.79,0.17,7.68,7.81,0.13,0.0,0.0,0.0,12.69,12.42,-0.27,121763.0,126087.0,4324.0
Glenmark Pharma.,GLENMARK,/company/GLENMARK/consolidated/,2386.25,67345.82,Jun 2026,Mar 2026,True,46.65,46.65,0.0,20.35,20.89,0.54,19.28,18.6,-0.68,0.04,0.04,0.0,13.7,13.81,0.11,196105.0,211418.0,15313.0
Global Health,MEDANTA,/company/MEDANTA/consolidated/,1494.00,40169.96,Jun 2026,Mar 2026,True,33.01,33.0,-0.01,10.15,9.46,-0.69,14.76,16.89,2.13,,,,42.01,40.55,-1.46,147390.0,140531.0,-6859.0
Globus Spirits,GLOBUSSPR,/company/GLOBUSSPR/consolidated/,829.30,2609.09,Aug 2026,Jun 2026,True,50.56,46.74,-3.82,7.46,13.77,6.31,10.56,10.46,-0.1,,,,31.41,29.02,-2.39,69278.0,70001.0,723.0
GMR Airports,GMRAIRPORT,/company/GMRAIRPORT/consolidated/,97.73,103192.85,Jun 2026,Mar 2026,True,66.33,67.16,0.83,20.17,21.74,1.57,4.93,5.14,0.21,,,,8.56,5.95,-2.61,694272.0,676526.0,-17746.0
GMR Urban,GMRP&UI,/company/GMRP&UI/consolidated/,103.37,8073.38,Jun 2026,Mar 2026,True,46.28,46.28,0.0,3.43,16.0,12.57,5.22,5.47,0.25,,,,45.09,32.23,-12.86,328621.0,324898.0,-3723.0
GNA Axles,GNA,/company/GNA/consolidated/,624.80,2682.36,Jun 2026,Mar 2026,True,68.43,65.78,-2.65,1.27,1.7,0.43,11.0,11.59,0.59,,,,19.29,20.94,1.65,40050.0,40672.0,622.0
GNG Electronics,EBGNG,/company/EBGNG/consolidated/,667.25,7607.44,Jun 2026,Mar 2026,True,78.71,74.78,-3.93,2.78,5.27,2.49,5.2,6.82,1.62,,,,13.33,13.13,-0.2,49026.0,53228.0,4202.0
Go Digit General,GODIGIT,/company/GODIGIT/,253.80,23466.42,Jun 2026,Mar 2026,True,73.01,73.0,-0.01,8.01,8.23,0.22,14.62,15.01,0.39,,,,4.35,3.77,-0.58,59152.0,60707.0,1555.0
