name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Hi-Tech Pipes,HITECH,/company/HITECH/consolidated/,73.90,1500.97,Jun 2026,Mar 2026,True,43.76,43.43,-0.33,0.81,1.06,0.25,16.27,16.17,-0.1,,,,38.97,39.14,0.17,101479.0,99593.0,-1886.0
Himadri Special,HSCL,/company/HSCL/consolidated/,678.20,34220.26,Jun 2026,Mar 2026,True,52.49,52.49,0.0,5.98,6.8,0.82,3.22,3.33,0.11,,,,38.32,37.38,-0.94,408408.0,414141.0,5733.0
Hind.Aeronautics,HAL,/company/HAL/consolidated/,4795.90,320737.80,Jun 2026,Mar 2026,True,71.64,71.64,0.0,10.21,9.34,-0.87,10.43,11.9,1.47,0.07,0.07,0.0,7.66,7.03,-0.63,1291771.0,1211981.0,-79790.0
Hind.Construct.,HCC,/company/HCC/consolidated/,21.29,5576.83,Jun 2026,Mar 2026,True,16.72,16.18,-0.54,10.92,11.38,0.46,4.11,3.7,-0.41,,,,68.24,68.75,0.51,725141.0,726389.0,1248.0
Hind.Oil Explor.,HINDOILEXP,/company/HINDOILEXP/consolidated/,172.80,2285.19,Jun 2026,Mar 2026,True,,,,1.49,1.88,0.39,0.12,0.13,0.01,,,,98.38,97.99,-0.39,94700.0,90352.0,-4348.0
Hindalco Inds.,HINDALCO,/company/HINDALCO/consolidated/,978.50,219891.08,Jun 2026,Mar 2026,True,34.65,34.67,0.02,29.96,31.41,1.45,21.35,19.82,-1.53,0.35,0.35,0.0,13.21,13.26,0.05,691308.0,699601.0,8293.0
Hindustan Foods,HNDFDS,/company/HNDFDS/consolidated/,612.00,7424.11,Jun 2026,Mar 2026,True,61.31,61.84,0.53,5.83,5.86,0.03,15.06,14.65,-0.41,,,,17.82,17.63,-0.19,63403.0,60623.0,-2780.0
Hindusthan Insulators &,539984,/company/539984/,477.05,1032.49,Jul 2026,Jun 2026,True,75.0,75.0,0.0,,,,0.55,0.55,0.0,,,,24.45,24.45,0.0,2170.0,2167.0,-3.0
Hindware Home In,HINDWAREAP,/company/HINDWAREAP/consolidated/,172.05,1439.11,Jun 2026,Mar 2026,True,52.74,52.74,0.0,3.36,5.14,1.78,5.83,3.72,-2.11,,,,38.06,38.39,0.33,38057.0,38910.0,853.0
Hirect,HIRECT,/company/HIRECT/consolidated/,1215.90,4311.37,Jul 2026,Jun 2026,True,43.92,42.58,-1.34,6.57,6.84,0.27,0.2,3.22,3.02,,,,49.31,47.37,-1.94,22270.0,22219.0,-51.0
Hitachi Energy,POWERINDIA,/company/POWERINDIA/,31075.00,138508.55,Jun 2026,Mar 2026,True,71.31,71.31,0.0,11.68,12.44,0.76,6.95,6.32,-0.63,,,,10.07,9.91,-0.16,90555.0,102826.0,12271.0
HMA Agro Inds.,HMAAGRO,/company/HMAAGRO/consolidated/,23.10,1156.82,Aug 2026,Jun 2026,True,75.0,75.0,0.0,4.84,4.1,-0.74,3.46,3.57,0.11,,,,16.71,17.32,0.61,63045.0,64183.0,1138.0
Home First Finan,HOMEFIRST,/company/HOMEFIRST/,1129.00,11805.18,Jun 2026,Mar 2026,True,6.98,6.98,0.0,45.72,43.9,-1.82,27.52,29.83,2.31,,,,19.77,19.29,-0.48,82905.0,81261.0,-1644.0
Honasa Consumer,HONASA,/company/HONASA/consolidated/,467.20,15231.86,Jun 2026,Mar 2026,True,35.54,35.47,-0.07,13.74,13.64,-0.1,19.24,21.58,2.34,,,,31.48,29.3,-2.18,78187.0,85336.0,7149.0
Honeywell Auto,HONAUT,/company/HONAUT/,33872.35,29943.16,Jun 2026,Mar 2026,True,75.0,75.0,0.0,3.74,3.94,0.2,11.28,11.31,0.03,,,,9.96,9.74,-0.22,34974.0,33525.0,-1449.0
HPL Electric,HPL,/company/HPL/consolidated/,276.00,1774.71,Jun 2026,Mar 2026,True,72.66,72.66,0.0,0.51,0.75,0.24,0.1,0.1,0.0,,,,26.74,26.5,-0.24,126744.0,122523.0,-4221.0
Hubtown,HUBTOWN,/company/HUBTOWN/consolidated/,171.00,2429.92,Jun 2026,Mar 2026,True,32.83,33.17,0.34,1.4,1.48,0.08,0.21,0.2,-0.01,,,,65.56,65.14,-0.42,33419.0,33699.0,280.0
I O B,IOB,/company/IOB/,31.95,61524.81,Jun 2026,Mar 2026,True,92.44,92.44,0.0,0.43,0.47,0.04,4.28,4.29,0.01,,,,2.85,2.8,-0.05,968298.0,955025.0,-13273.0
I R F C,IRFC,/company/IRFC/,79.93,104456.54,Jun 2026,Mar 2026,True,84.65,82.9,-1.75,1.16,1.17,0.01,2.89,3.98,1.09,,,,11.29,11.94,0.65,5113569.0,5086488.0,-27081.0
I T D C,ITDC,/company/ITDC/consolidated/,677.65,5812.11,Jun 2026,Mar 2026,True,87.03,87.03,0.0,0.02,0.03,0.01,1.78,1.78,0.0,,,,11.17,11.16,-0.01,30734.0,32454.0,1720.0
ICICI AMC,ICICIAMC,/company/ICICIAMC/,3156.00,155988.02,Jun 2026,Mar 2026,True,87.59,87.59,0.0,2.4,2.96,0.56,7.18,6.8,-0.38,,,,2.82,2.65,-0.17,624271.0,590748.0,-33523.0
ICICI Bank,ICICIBANK,/company/ICICIBANK/consolidated/,1325.40,951433.35,Jun 2026,Mar 2026,True,,,,34.48,33.79,-0.69,39.94,42.32,2.38,0.22,0.22,0.0,25.36,23.68,-1.68,2082901.0,2104810.0,21909.0
ICICI Lombard,ICICIGI,/company/ICICIGI/,1558.80,77878.85,Jun 2026,Mar 2026,True,51.28,51.22,-0.06,22.29,21.45,-0.84,19.41,20.64,1.23,0.1,0.1,0.0,6.9,6.57,-0.33,229930.0,229599.0,-331.0
ICICI Pru Life,ICICIPRULI,/company/ICICIPRULI/consolidated/,461.70,67003.31,Jun 2026,Mar 2026,True,72.8,72.73,-0.07,10.89,10.22,-0.67,11.05,11.81,0.76,,,,5.23,5.22,-0.01,327841.0,319872.0,-7969.0
Ideaforge Tech,IDEAFORGE,/company/IDEAFORGE/consolidated/,734.20,3650.21,Jul 2026,Jun 2026,True,28.96,25.26,-3.7,4.89,8.27,3.38,2.69,10.98,8.29,,,,63.46,55.49,-7.97,165675.0,164872.0,-803.0
IDFC First Bank,IDFCFIRSTB,/company/IDFCFIRSTB/,83.78,72242.05,Jun 2026,Mar 2026,True,0.0,0.0,0.0,36.52,36.1,-0.42,22.73,24.35,1.62,7.8,7.79,-0.01,32.93,31.73,-1.2,2890403.0,2789803.0,-100600.0
IDream Film,504375,/company/504375/consolidated/,517.75,14007.90,Jun 2026,Mar 2026,True,60.0,73.72,13.72,,,,,,,,,,40.01,26.28,-13.73,230.0,253.0,23.0
IFCI,IFCI,/company/IFCI/consolidated/,73.94,19921.73,Jun 2026,Mar 2026,True,72.57,72.57,0.0,2.65,3.5,0.85,1.64,1.66,0.02,2.21,2.12,-0.09,20.9,20.14,-0.76,965982.0,957179.0,-8803.0
Igarashi Motors,IGARASHI,/company/IGARASHI/,422.90,1331.07,Jun 2026,Mar 2026,True,75.0,75.0,0.0,0.13,0.5,0.37,2.12,3.65,1.53,,,,22.75,20.86,-1.89,26971.0,27607.0,636.0
Indegene,INDGN,/company/INDGN/consolidated/,610.20,14701.17,Jun 2026,Mar 2026,True,,,,10.27,9.92,-0.35,8.29,8.74,0.45,,,,81.43,81.34,-0.09,142119.0,138533.0,-3586.0
India Homes,513361,/company/513361/,26.24,1044.54,Jun 2026,Mar 2026,True,35.4,34.25,-1.15,0.0,0.0,0.0,3.52,4.88,1.36,,,,61.08,60.87,-0.21,58257.0,56712.0,-1545.0
India Nipp.Elec.,INDNIPPON,/company/INDNIPPON/consolidated/,1314.80,2974.30,Jun 2026,Mar 2026,True,70.37,70.37,0.0,0.41,0.33,-0.08,0.06,0.22,0.16,,,,29.14,29.1,-0.04,22994.0,24035.0,1041.0
Indiabulls,IBULLSLTD,/company/IBULLSLTD/consolidated/,29.94,6982.67,Jun 2026,Mar 2026,True,32.89,32.91,0.02,17.0,17.08,0.08,0.16,0.11,-0.05,,,,46.05,45.99,-0.06,249915.0,249884.0,-31.0
Indiamart Inter.,INDIAMART,/company/INDIAMART/consolidated/,1639.00,9857.39,Jun 2026,Mar 2026,True,49.12,49.07,-0.05,19.17,19.92,0.75,13.54,12.11,-1.43,,,,18.17,18.88,0.71,158065.0,155473.0,-2592.0
Indian Bank,INDIANB,/company/INDIANB/consolidated/,831.25,111966.40,Jun 2026,Mar 2026,True,73.84,73.84,0.0,5.82,6.16,0.34,17.75,17.03,-0.72,,,,2.58,2.98,0.4,319897.0,318231.0,-1666.0
Indian Hotels Co,INDHOTEL,/company/INDHOTEL/consolidated/,724.65,103149.11,Jun 2026,Mar 2026,True,38.12,38.12,0.0,23.23,21.71,-1.52,22.58,24.47,1.89,0.13,0.13,0.0,15.95,15.59,-0.36,646147.0,638645.0,-7502.0
Indian Renewable,IREDA,/company/IREDA/,114.15,32067.34,Jun 2026,Mar 2026,True,71.76,71.76,0.0,2.14,2.48,0.34,2.44,2.39,-0.05,,,,23.65,23.35,-0.3,2519677.0,2465916.0,-53761.0
Indigo Paints,INDIGOPNTS,/company/INDIGOPNTS/,1129.30,5390.46,Jun 2026,Mar 2026,True,53.88,53.88,0.0,7.42,5.73,-1.69,23.0,25.25,2.25,,,,15.72,15.16,-0.56,144361.0,139467.0,-4894.0
Indo Borax & Ch.,INDOBORAX,/company/INDOBORAX/consolidated/,449.60,1442.74,Jun 2026,Mar 2026,True,30.8,38.41,7.61,0.45,0.13,-0.32,2.19,0.04,-2.15,,,,66.56,61.43,-5.13,20466.0,20592.0,126.0
Indo Count Inds.,ICIL,/company/ICIL/consolidated/,443.95,8792.58,Jun 2026,Mar 2026,True,58.74,58.74,0.0,9.86,10.14,0.28,5.72,5.82,0.1,,,,25.66,25.3,-0.36,77258.0,75948.0,-1310.0
Indo Tech.Trans.,INDOTECH,/company/INDOTECH/,3204.10,3402.79,Jun 2026,Mar 2026,True,75.0,72.18,-2.82,0.27,0.28,0.01,0.0,0.05,0.05,,,,24.72,27.5,2.78,25871.0,24680.0,-1191.0
Indoco Remedies,INDOCO,/company/INDOCO/consolidated/,252.30,2328.81,Jun 2026,Mar 2026,True,58.86,58.86,0.0,0.94,1.27,0.33,18.15,17.68,-0.47,,,,21.9,22.04,0.14,32276.0,32457.0,181.0
Indrapr.Medical,INDRAMEDCO,/company/INDRAMEDCO/,366.65,3361.18,Jun 2026,Mar 2026,True,51.0,51.0,0.0,2.43,2.77,0.34,0.87,0.59,-0.28,,,,45.69,45.65,-0.04,72980.0,75098.0,2118.0
IndusInd Bank,INDUSINDBK,/company/INDUSINDBK/consolidated/,913.70,71190.46,Jun 2026,Mar 2026,True,15.82,15.82,0.0,28.57,29.17,0.6,40.13,41.86,1.73,0.38,0.38,0.0,15.1,12.76,-2.34,601056.0,568147.0,-32909.0
Info Edg.(India),NAUKRI,/company/NAUKRI/consolidated/,1251.90,81175.75,Jun 2026,Mar 2026,True,37.5,37.48,-0.02,27.97,23.72,-4.25,23.43,27.83,4.4,0.66,0.0,-0.66,10.34,10.9,0.56,236961.0,257916.0,20955.0
Ingersoll-Rand,INGERRAND,/company/INGERRAND/,4247.00,13406.92,Jun 2026,Mar 2026,True,75.0,75.0,0.0,1.3,1.28,-0.02,8.21,8.96,0.75,,,,15.49,14.75,-0.74,37773.0,37829.0,56.0
Innova Captab,INNOVACAP,/company/INNOVACAP/consolidated/,1286.05,7359.41,Jun 2026,Mar 2026,True,50.9,50.9,0.0,0.23,0.34,0.11,20.14,19.92,-0.22,,,,28.74,28.84,0.1,36965.0,35881.0,-1084.0
Innovassynth Technologies,533315,/company/533315/,145.45,1350.66,Jun 2026,Mar 2026,True,73.7,75.04,1.34,1.39,1.13,-0.26,1.46,1.12,-0.34,,,,23.46,22.71,-0.75,26898.0,27084.0,186.0
Insolation Ener,INA,/company/INA/consolidated/,90.82,2002.19,Jun 2026,Mar 2026,True,66.12,66.12,0.0,1.09,0.84,-0.25,0.74,1.27,0.53,,,,32.05,31.75,-0.3,15112.0,26561.0,11449.0
Interarch Build.,INTERARCH,/company/INTERARCH/,1741.70,2929.03,Jun 2026,Mar 2026,True,59.44,59.44,0.0,5.29,4.86,-0.43,5.17,6.1,0.93,,,,30.12,29.61,-0.51,71121.0,63547.0,-7574.0
International Gemological Instit,IGIL,/company/IGIL/consolidated/,327.55,14155.37,Jun 2026,Mar 2026,True,76.55,76.55,0.0,8.6,9.49,0.89,6.38,5.51,-0.87,,,,8.46,8.44,-0.02,187343.0,172894.0,-14449.0
Inventurus Knowl,IKS,/company/IKS/consolidated/,1817.50,31199.73,Jun 2026,Mar 2026,True,63.72,63.72,0.0,8.19,8.01,-0.18,6.4,7.5,1.1,,,,19.39,18.55,-0.84,60385.0,63025.0,2640.0
IOL Chemicals,IOLCP,/company/IOLCP/,205.40,6029.04,Jun 2026,Mar 2026,True,57.48,62.28,4.8,1.72,4.87,3.15,0.02,0.43,0.41,,,,40.78,32.41,-8.37,131550.0,119311.0,-12239.0
ION Exchange,IONEXCHANG,/company/IONEXCHANG/consolidated/,420.15,6162.20,Jun 2026,Mar 2026,True,25.52,25.43,-0.09,4.63,4.86,0.23,14.8,15.32,0.52,,,,38.86,38.21,-0.65,116996.0,120052.0,3056.0
Ipca Labs.,IPCALAB,/company/IPCALAB/consolidated/,1951.90,49520.56,Jun 2026,Mar 2026,True,44.72,44.72,0.0,10.63,10.72,0.09,37.13,37.04,-0.09,0.32,0.32,0.0,7.21,7.19,-0.02,82184.0,82060.0,-124.0
IRB Infra.Devl.,IRB,/company/IRB/consolidated/,17.73,21414.25,Jun 2026,Mar 2026,True,30.79,30.81,0.02,43.84,43.87,0.03,10.02,10.14,0.12,0.01,0.01,0.0,15.32,15.17,-0.15,1531356.0,1525882.0,-5474.0
Iris Clothings,IRISDOREME,/company/IRISDOREME/,65.14,1239.80,Sep 2026,Jun 2026,True,61.17,58.79,-2.38,0.0,0.2,0.2,0.74,2.56,1.82,,,,38.09,38.45,0.36,10427.0,10349.0,-78.0
ITI,ITI,/company/ITI/,253.50,24416.03,Jun 2026,Mar 2026,True,90.02,90.02,0.0,0.0,0.08,0.08,0.06,0.06,0.0,7.88,7.88,0.0,2.03,1.94,-0.09,162249.0,151049.0,-11200.0
Ivalue Infosolut,IVALUE,/company/IVALUE/consolidated/,225.85,1236.58,Jun 2026,Mar 2026,True,32.08,32.1,0.02,2.22,2.73,0.51,15.25,15.44,0.19,,,,50.45,49.73,-0.72,50234.0,50199.0,-35.0
IZMO,IZMO,/company/IZMO/consolidated/,910.45,1363.91,Jun 2026,Mar 2026,True,34.79,34.79,0.0,3.27,3.35,0.08,0.49,0.52,0.03,,,,61.45,61.34,-0.11,32032.0,30738.0,-1294.0
J & K Bank,J&KBANK,/company/J&KBANK/consolidated/,146.10,16088.24,Jun 2026,Mar 2026,True,59.4,59.4,0.0,8.35,9.38,1.03,6.0,7.85,1.85,,,,26.26,23.37,-2.89,240539.0,219636.0,-20903.0
Jagran Prakashan,JAGRAN,/company/JAGRAN/consolidated/,62.87,1368.41,Jun 2026,Mar 2026,True,69.0,69.0,0.0,2.24,2.3,0.06,6.3,4.29,-2.01,,,,22.47,24.41,1.94,71629.0,77927.0,6298.0
Jagsonpal Pharma,JAGSNPHARM,/company/JAGSNPHARM/,243.40,1605.42,Jun 2026,Mar 2026,True,67.89,69.06,1.17,2.44,2.3,-0.14,0.22,0.62,0.4,,,,29.44,28.04,-1.4,26264.0,24181.0,-2083.0
Jai Corp,JAICORPLTD,/company/JAICORPLTD/consolidated/,94.11,1651.62,Jun 2026,Mar 2026,True,73.91,73.91,0.0,0.8,1.49,0.69,1.57,1.24,-0.33,,,,23.71,23.34,-0.37,102899.0,99811.0,-3088.0
Jaro Institute,JARO,/company/JARO/,457.70,1021.86,Jun 2026,Mar 2026,True,57.28,61.43,4.15,0.78,0.75,-0.03,4.87,2.71,-2.16,,,,37.06,33.33,-3.73,69097.0,66788.0,-2309.0
Jayaswal Neco,JAYNECOIND,/company/JAYNECOIND/,89.00,8641.91,Jun 2026,Mar 2026,True,55.15,55.15,0.0,0.9,1.32,0.42,0.3,0.78,0.48,,,,43.65,42.75,-0.9,96844.0,98451.0,1607.0
Jaykay Enter.,JAYKAY,/company/JAYKAY/consolidated/,204.60,3086.62,Sep 2026,Jun 2026,True,65.19,66.01,0.82,0.17,0.27,0.1,0.0,0.0,0.0,,,,34.64,33.71,-0.93,86703.0,89445.0,2742.0
JBM Auto,JBMA,/company/JBMA/consolidated/,582.00,13763.96,Jun 2026,Mar 2026,True,67.53,67.53,0.0,1.97,2.03,0.06,0.1,0.16,0.06,,,,30.38,30.27,-0.11,183719.0,182870.0,-849.0
Jindal Saw,JINDALSAW,/company/JINDALSAW/consolidated/,284.15,18171.60,Jun 2026,Mar 2026,True,63.25,63.25,0.0,13.46,13.08,-0.38,5.79,8.36,2.57,,,,17.2,15.03,-2.17,207732.0,178027.0,-29705.0
Jindal Steel,JINDALSTEL,/company/JINDALSTEL/consolidated/,1158.50,118177.24,Jun 2026,Mar 2026,True,62.71,62.71,0.0,9.19,8.84,-0.35,19.14,19.52,0.38,,,,8.73,8.73,0.0,271333.0,276544.0,5211.0
JK Lakshmi Cem.,JKLAKSHMI,/company/JKLAKSHMI/consolidated/,512.15,6358.07,Jun 2026,Mar 2026,True,45.12,45.12,0.0,11.96,8.64,-3.32,23.0,26.57,3.57,,,,19.92,19.66,-0.26,167247.0,165372.0,-1875.0
John Cockerill,COCKERILL,/company/COCKERILL/consolidated/,7970.00,3935.45,Jun 2026,Mar 2026,True,70.44,70.44,0.0,0.02,0.32,0.3,0.0,0.11,0.11,,,,29.53,29.12,-0.41,13233.0,14140.0,907.0
JP Power Ven.,JPPOWER,/company/JPPOWER/consolidated/,15.89,10890.10,Jun 2026,Mar 2026,True,24.0,24.0,0.0,6.58,6.75,0.17,17.03,11.15,-5.88,,,,52.38,58.08,5.7,2456876.0,2447396.0,-9480.0
JSW Cement,JSWCEMENT,/company/JSWCEMENT/consolidated/,115.50,15746.89,Jun 2026,Mar 2026,True,72.04,72.02,-0.02,2.93,3.7,0.77,8.74,11.49,2.75,,,,14.67,11.83,-2.84,442053.0,442995.0,942.0
JSW Dulux,JSWDULUX,/company/JSWDULUX/consolidated/,3200.70,14576.08,Jun 2026,Mar 2026,True,61.2,61.2,0.0,8.43,8.49,0.06,21.79,21.96,0.17,,,,8.58,8.33,-0.25,48493.0,48114.0,-379.0
JSW Energy,JSWENERGY,/company/JSWENERGY/consolidated/,506.75,92911.72,Jun 2026,Mar 2026,True,69.41,66.53,-2.88,9.74,11.41,1.67,14.29,16.16,1.87,0.03,0.03,0.0,6.44,5.82,-0.62,565674.0,555401.0,-10273.0
JSW Infrast,JSWINFRA,/company/JSWINFRA/consolidated/,364.50,84928.56,Jun 2026,Mar 2026,True,83.61,73.93,-9.68,6.92,11.21,4.29,2.43,9.19,6.76,,,,6.33,5.39,-0.94,460256.0,430425.0,-29831.0
JSW Steel,JSWSTEEL,/company/JSWSTEEL/consolidated/,1272.80,311257.35,Jun 2026,Mar 2026,True,45.31,44.29,-1.02,25.38,25.92,0.54,11.16,11.49,0.33,0.51,0.51,0.0,17.47,17.62,0.15,603274.0,610616.0,7342.0
JTEKT India,JTEKTINDIA,/company/JTEKTINDIA/,117.60,3262.21,Jun 2026,Mar 2026,True,74.98,74.98,0.0,0.48,0.6,0.12,11.14,10.24,-0.9,,,,13.41,14.19,0.78,45176.0,45846.0,670.0
JTL Industries,JTLIND,/company/JTLIND/consolidated/,91.25,3486.20,Jun 2026,Mar 2026,True,49.26,49.26,0.0,3.4,4.84,1.44,0.0,0.14,0.14,,,,47.34,45.75,-1.59,82504.0,85849.0,3345.0
Jubilant Agri,JUBLCPL,/company/JUBLCPL/consolidated/,2150.00,3257.78,Jun 2026,Mar 2026,True,74.36,74.36,0.0,0.27,0.22,-0.05,0.14,0.23,0.09,,,,25.24,25.2,-0.04,18327.0,18430.0,103.0
Jubilant Ingrev.,JUBLINGREA,/company/JUBLINGREA/consolidated/,654.55,10425.76,Jun 2026,Mar 2026,True,45.22,45.22,0.0,6.49,6.49,0.0,24.76,24.98,0.22,0.02,0.02,0.0,22.53,22.3,-0.23,112696.0,110949.0,-1747.0
Jubilant Pharmo,JUBLPHARMA,/company/JUBLPHARMA/consolidated/,1074.65,17119.14,Jun 2026,Mar 2026,True,47.67,47.67,0.0,15.9,15.87,-0.03,11.63,12.4,0.77,,,,24.25,23.5,-0.75,86347.0,82703.0,-3644.0
Jupiter Life Lin,JLHL,/company/JLHL/consolidated/,263.20,8628.46,Jun 2026,Mar 2026,True,40.91,40.91,0.0,8.48,9.37,0.89,17.01,16.51,-0.5,,,,33.6,33.2,-0.4,32985.0,33194.0,209.0
K P R Mill Ltd,KPRMILL,/company/KPRMILL/consolidated/,1107.80,37866.15,Jun 2026,Mar 2026,True,67.52,67.52,0.0,6.64,7.02,0.38,19.47,19.25,-0.22,0.01,0.01,0.0,6.35,6.19,-0.16,123029.0,111866.0,-11163.0
Kabra Extrusion,KABRAEXTRU,/company/KABRAEXTRU/consolidated/,846.35,2959.92,Jun 2026,Mar 2026,True,60.49,60.44,-0.05,0.35,0.36,0.01,0.02,0.02,0.0,,,,39.14,39.19,0.05,27137.0,26399.0,-738.0
Kajaria Ceramics,KAJARIACER,/company/KAJARIACER/consolidated/,1216.75,19120.37,Jun 2026,Mar 2026,True,47.69,47.69,0.0,10.23,11.58,1.35,27.47,26.24,-1.23,,,,14.6,14.48,-0.12,92831.0,125200.0,32369.0
Kalyani Invest.,KICL,/company/KICL/consolidated/,4942.95,2160.07,Jun 2026,Mar 2026,True,74.98,74.98,0.0,0.65,0.64,-0.01,0.51,0.56,0.05,,,,23.85,23.8,-0.05,24502.0,23781.0,-721.0
Kalyani Steels,KSL,/company/KSL/,964.55,4210.56,Jun 2026,Mar 2026,True,64.7,64.7,0.0,1.82,1.77,-0.05,11.14,11.48,0.34,,,,22.33,22.06,-0.27,44840.0,43550.0,-1290.0
Kamdhenu,KAMDHENU,/company/KAMDHENU/,40.10,1130.35,Jun 2026,Mar 2026,True,49.03,49.03,0.0,1.88,2.06,0.18,0.01,0.03,0.02,,,,49.08,48.89,-0.19,50779.0,48824.0,-1955.0
Kansai Nerolac,KANSAINER,/company/KANSAINER/consolidated/,180.20,14574.20,Jun 2026,Mar 2026,True,74.96,74.96,0.0,3.6,4.02,0.42,11.9,11.88,-0.02,,,,9.53,9.14,-0.39,150761.0,145779.0,-4982.0
Kapston Services,KAPSTON,/company/KAPSTON/,542.85,1652.01,Jun 2026,Mar 2026,True,72.87,72.87,0.0,0.0,0.01,0.01,,,,,,,27.13,27.12,-0.01,5964.0,6564.0,600.0
Karnataka Bank,KTKBANK,/company/KTKBANK/,336.85,12745.98,Jun 2026,Mar 2026,True,,,,11.78,13.1,1.32,16.16,15.75,-0.41,,,,72.04,71.15,-0.89,393841.0,374587.0,-19254.0
Karur Vysya Bank,KARURVYSYA,/company/KARURVYSYA/,326.35,31543.45,Jun 2026,Mar 2026,True,2.07,2.07,0.0,19.25,17.92,-1.33,39.26,41.22,1.96,0.02,0.01,-0.01,39.4,38.78,-0.62,272726.0,275908.0,3182.0
KEC International,KEC,/company/KEC/consolidated/,395.75,10534.90,Jun 2026,Mar 2026,True,50.1,50.1,0.0,9.84,9.92,0.08,26.86,23.34,-3.52,,,,13.18,16.64,3.46,197513.0,226492.0,28979.0
KEI Industries,KEI,/company/KEI/consolidated/,4678.20,44723.84,Jun 2026,Mar 2026,True,35.0,35.0,0.0,27.27,27.32,0.05,25.83,25.9,0.07,,,,11.88,11.76,-0.12,158565.0,160497.0,1932.0
Keltech Energies,506528,/company/506528/,12508.60,1250.86,Jun 2026,Mar 2026,True,54.33,54.33,0.0,,,,0.14,0.16,0.02,,,,45.52,45.51,-0.01,6724.0,6244.0,-480.0
Kernex Microsys.,KERNEX,/company/KERNEX/consolidated/,1704.50,2864.19,Jun 2026,Mar 2026,True,28.85,28.73,-0.12,0.3,2.48,2.18,0.02,0.05,0.03,0.06,0.06,0.0,70.78,68.69,-2.09,41511.0,41803.0,292.0
Kewal Kir.Cloth.,KKCL,/company/KKCL/consolidated/,467.85,2883.13,Jun 2026,Mar 2026,True,74.29,74.29,0.0,2.32,2.37,0.05,8.6,8.85,0.25,,,,14.8,14.48,-0.32,33321.0,32735.0,-586.0
KIOCL,KIOCL,/company/KIOCL/,342.10,20791.15,Mar 2026,Dec 2025,True,99.03,99.03,0.0,0.0,0.05,0.05,0.03,0.03,0.0,,,,0.92,0.88,-0.04,40444.0,39787.0,-657.0
Kiri Industries,KIRIINDUS,/company/KIRIINDUS/consolidated/,556.45,3626.33,Jun 2026,Mar 2026,True,36.72,41.71,4.99,18.32,16.75,-1.57,1.28,1.29,0.01,,,,43.68,40.25,-3.43,39697.0,40252.0,555.0
Kirl. Brothers,KIRLOSBROS,/company/KIRLOSBROS/consolidated/,1773.45,14082.79,Jun 2026,Mar 2026,True,65.95,65.95,0.0,6.24,6.41,0.17,10.38,10.23,-0.15,,,,17.43,17.4,-0.03,66266.0,64065.0,-2201.0
Kirl.Pneumatic,KIRLPNU,/company/KIRLPNU/,693.00,9003.92,Jun 2026,Mar 2026,True,38.81,38.81,0.0,9.56,10.39,0.83,26.53,25.97,-0.56,0.03,0.0,-0.03,25.08,24.81,-0.27,61484.0,64033.0,2549.0
Kirloskar Oil,KIRLOSENG,/company/KIRLOSENG/consolidated/,2140.00,31141.24,Jun 2026,Mar 2026,True,41.08,41.06,-0.02,10.79,11.33,0.54,26.69,26.0,-0.69,,,,21.45,21.61,0.16,106666.0,130627.0,23961.0
Kitex Garments,KITEX,/company/KITEX/consolidated/,116.80,2330.20,Jun 2026,Mar 2026,True,56.66,56.66,0.0,0.88,1.21,0.33,0.13,0.12,-0.01,,,,42.33,42.01,-0.32,100555.0,99677.0,-878.0
KMC Speciality,KMCSHIL,/company/KMCSHIL/,155.95,2543.55,Jun 2026,Mar 2026,True,75.0,75.0,0.0,0.0,0.02,0.02,,,,,,,25.01,24.98,-0.03,86318.0,88487.0,2169.0
Knowledge Marine,KMEW,/company/KMEW/consolidated/,2886.95,7322.57,Aug 2026,Jun 2026,True,51.56,49.99,-1.57,12.12,12.64,0.52,1.54,3.9,2.36,,,,34.79,33.46,-1.33,22941.0,23571.0,630.0
Kody Technolab,KODYTECH,/company/KODYTECH/consolidated/,1539.00,2199.76,Aug 2026,Mar 2026,True,72.73,69.49,-3.24,0.09,0.15,0.06,0.15,0.17,0.02,,,,27.03,30.19,3.16,2938.0,2771.0,-167.0
Kolte Patil Dev.,KOLTEPATIL,/company/KOLTEPATIL/consolidated/,431.95,3830.54,Jun 2026,Mar 2026,True,73.81,73.81,0.0,9.96,10.61,0.65,3.38,3.3,-0.08,,,,12.82,12.28,-0.54,41772.0,40601.0,-1171.0
Kotak Mah. Bank,KOTAKBANK,/company/KOTAKBANK/consolidated/,402.20,400094.75,Jun 2026,Mar 2026,True,25.87,25.87,0.0,26.4,25.21,-1.19,36.19,37.71,1.52,,,,11.54,11.2,-0.34,781448.0,784727.0,3279.0
Kovai Medical,KOVAI,/company/KOVAI/,6094.00,6666.86,Jun 2026,Mar 2026,True,56.53,56.53,0.0,1.21,1.25,0.04,4.47,4.24,-0.23,,,,37.8,37.98,0.18,18864.0,19362.0,498.0
