name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Krishival Foods,KRISHIVAL,/company/KRISHIVAL/consolidated/,415.70,1180.60,Aug 2026,Jun 2026,True,37.23,37.23,0.0,0.47,0.47,0.0,1.45,3.01,1.56,9.5,9.5,0.0,51.36,49.78,-1.58,2099.0,2046.0,-53.0
Optiemus Infra.,OPTIEMUS,/company/OPTIEMUS/consolidated/,708.90,6391.90,Aug 2026,Jun 2026,True,72.17,71.4,-0.77,3.24,3.31,0.07,0.98,2.4,1.42,,,,23.62,22.9,-0.72,35747.0,33157.0,-2590.0
Fermenta Biotec.,FERMENTA,/company/FERMENTA/consolidated/,470.60,1385.02,Aug 2026,Jun 2026,True,64.08,64.09,0.01,0.13,0.37,0.24,0.04,0.04,0.0,,,,33.19,32.95,-0.24,14131.0,14777.0,646.0
Shukra Pharma.,SHUKRAPHAR,/company/SHUKRAPHAR/,58.59,2582.57,Aug 2026,Jun 2026,True,50.95,51.16,0.21,,,,0.11,0.11,0.0,,,,48.93,48.74,-0.19,28384.0,28384.0,0.0
Fischer Medical,FISCHER,/company/FISCHER/consolidated/,32.95,2302.17,Aug 2026,Jun 2026,True,62.15,63.09,0.94,5.48,5.57,0.09,1.35,1.26,-0.09,,,,31.01,30.09,-0.92,23950.0,23951.0,1.0
Utssav CZ Gold,UTSSAV,/company/UTSSAV/,652.35,1575.29,Aug 2026,Mar 2026,True,70.3,72.55,2.25,0.36,0.01,-0.35,0.0,0.0,0.0,,,,29.33,27.43,-1.9,2301.0,1587.0,-714.0
TIL,TIL,/company/TIL/consolidated/,248.07,2045.18,Aug 2026,Jun 2026,True,61.3,61.3,0.0,2.62,2.88,0.26,3.8,3.05,-0.75,,,,32.28,32.77,0.49,11412.0,14873.0,3461.0
HMA Agro Inds.,HMAAGRO,/company/HMAAGRO/consolidated/,23.72,1187.83,Aug 2026,Jun 2026,True,75.0,75.0,0.0,4.84,4.1,-0.74,3.46,3.57,0.11,,,,16.71,17.32,0.61,63045.0,64183.0,1138.0
Diamond Power,DIACABS,/company/DIACABS/,370.85,22179.47,Jul 2026,Jun 2026,True,84.02,74.04,-9.98,1.77,4.56,2.79,0.23,10.94,10.71,0.0,0.02,0.02,13.98,10.45,-3.53,64103.0,74023.0,9920.0
Ideaforge Tech,IDEAFORGE,/company/IDEAFORGE/consolidated/,741.40,3685.39,Jul 2026,Jun 2026,True,28.96,25.26,-3.7,4.89,8.27,3.38,2.69,10.98,8.29,,,,63.46,55.49,-7.97,165675.0,164872.0,-803.0
Skipper,SKIPPER,/company/SKIPPER/,561.55,6341.99,Jul 2026,Jun 2026,True,66.5,61.48,-5.02,4.11,10.64,6.53,1.92,2.24,0.32,,,,27.47,25.65,-1.82,87064.0,88286.0,1222.0
Belrise Industri,BELRISE,/company/BELRISE/,244.74,23670.08,Jul 2026,Jun 2026,True,66.46,61.14,-5.32,9.4,12.09,2.69,10.0,13.12,3.12,,,,14.14,13.63,-0.51,215956.0,221048.0,5092.0
Sobhagya Mercant,512014,/company/512014/,1380.40,1435.48,Jul 2026,Jun 2026,True,64.62,60.58,-4.04,13.83,19.22,5.39,,,,,,,21.56,20.19,-1.37,1353.0,1342.0,-11.0
Paramount Comm.,PARACABLES,/company/PARACABLES/consolidated/,61.75,2020.70,Jul 2026,Jun 2026,True,49.19,45.88,-3.31,0.49,0.45,-0.04,0.11,4.11,4.0,1.7,1.58,-0.12,48.54,47.99,-0.55,132072.0,132082.0,10.0
Sterlite Tech.,STLTECH,/company/STLTECH/consolidated/,839.55,43157.69,Jul 2026,Jun 2026,True,44.52,42.29,-2.23,18.22,19.71,1.49,11.43,13.27,1.84,,,,25.82,24.74,-1.08,233593.0,235524.0,1931.0
Hirect,HIRECT,/company/HIRECT/consolidated/,1242.20,4404.67,Jul 2026,Jun 2026,True,43.92,42.58,-1.34,6.57,6.84,0.27,0.2,3.22,3.02,,,,49.31,47.37,-1.94,22270.0,22219.0,-51.0
Adani Enterp.,ADANIENT,/company/ADANIENT/consolidated/,2997.00,405623.02,Jul 2026,Jun 2026,True,74.84,71.97,-2.87,8.77,10.51,1.74,9.34,10.75,1.41,,,,7.06,6.78,-0.28,596414.0,588595.0,-7819.0
Adani Energy Sol,ADANIENSOL,/company/ADANIENSOL/consolidated/,1381.70,168975.62,Jul 2026,Jun 2026,True,74.71,73.39,-1.32,10.14,10.31,0.17,11.77,13.05,1.28,,,,3.39,3.26,-0.13,385315.0,376377.0,-8938.0
NIBE,NIBE,/company/NIBE/consolidated/,1369.90,2123.59,Jul 2026,Jun 2026,True,52.27,51.46,-0.81,10.59,11.47,0.88,0.55,0.58,0.03,,,,36.59,36.48,-0.11,44257.0,44534.0,277.0
Novartis India,NOVARTIND,/company/NOVARTIND/,1973.30,4872.23,Jul 2026,Jun 2026,True,70.68,70.68,0.0,0.16,0.15,-0.01,1.35,1.39,0.04,,,,27.81,27.79,-0.02,36502.0,36706.0,204.0
GYFTR,GYFTR,/company/GYFTR/consolidated/,168.50,1294.22,Jul 2026,Jun 2026,True,50.08,50.08,0.0,5.1,5.1,0.0,4.41,4.43,0.02,,,,40.41,40.39,-0.02,6809.0,6802.0,-7.0
Fredun Pharma,FREDUN,/company/FREDUN/,1382.60,2286.55,Jul 2026,Jun 2026,True,44.57,44.57,0.0,1.06,1.06,0.0,2.94,2.94,0.0,,,,51.45,51.43,-0.02,8903.0,9598.0,695.0
Hindusthan Insulators &,539984,/company/539984/,477.05,1032.49,Jul 2026,Jun 2026,True,75.0,75.0,0.0,,,,0.55,0.55,0.0,,,,24.45,24.45,0.0,2170.0,2167.0,-3.0
V-Marc India,VMARCIND,/company/VMARCIND/,331.70,4860.21,Jul 2026,Jun 2026,True,64.87,64.87,0.0,0.26,0.25,-0.01,0.02,0.02,0.0,,,,34.85,34.86,0.01,3330.0,3420.0,90.0
Nitco,NITCO,/company/NITCO/consolidated/,91.89,2210.56,Jul 2026,Jun 2026,True,20.17,23.96,3.79,2.28,2.1,-0.18,0.62,0.59,-0.03,,,,76.94,73.35,-3.59,28351.0,28110.0,-241.0
Tembo Global,TEMBO,/company/TEMBO/consolidated/,57.36,1063.75,Jul 2026,Jun 2026,True,37.74,39.04,1.3,8.48,8.25,-0.23,1.65,1.56,-0.09,,,,52.13,51.15,-0.98,17962.0,18491.0,529.0
Goldiam Intl.,GOLDIAM,/company/GOLDIAM/consolidated/,319.80,4814.82,Jul 2026,Jun 2026,True,58.51,58.51,0.0,1.99,2.18,0.19,0.78,0.06,-0.72,,,,38.72,39.25,0.53,75143.0,75383.0,240.0
