name,url,latest_quarter,is_fresh,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change
Cosmo First,/company/COSMOFIRST/consolidated/,Jun 2026,True,2.13,2.4,0.27,1.13,1.49,0.36
AXISCADES Tech.,/company/AXISCADES/consolidated/,Jun 2026,True,1.16,1.45,0.29,1.63,1.96,0.33
Bank of Maha,/company/MAHABANK/consolidated/,Jun 2026,True,5.55,5.82,0.27,13.93,14.28,0.35
Saatvik Green,/company/SAATVIKGL/consolidated/,Jun 2026,True,0.03,0.19,0.16,10.52,10.97,0.45
Go Digit General,/company/GODIGIT/,Jun 2026,True,8.01,8.23,0.22,14.62,15.01,0.39
Diffusion Eng,/company/DIFFNKG/consolidated/,Jun 2026,True,0.41,0.72,0.31,8.13,8.42,0.29
Dec.Gold Mines,/company/DECNGOLD/consolidated/,Jun 2026,True,1.84,2.14,0.3,0.23,0.53,0.3
ASM Technologies,/company/526433/consolidated/,Jun 2026,True,0.23,0.49,0.26,0.43,0.72,0.29
Kwality Pharma,/company/KPL/consolidated/,Jun 2026,True,2.79,3.13,0.34,0.36,0.56,0.2
Arvind Fashions.,/company/ARVINDFASN/consolidated/,Jun 2026,True,11.97,12.15,0.18,24.63,24.99,0.36
Confidence Petro,/company/CONFIPET/consolidated/,Jun 2026,True,0.48,0.81,0.33,0.01,0.19,0.18
Exide Inds.,/company/EXIDEIND/consolidated/,Jun 2026,True,10.3,10.62,0.32,19.12,19.3,0.18
PCBL Chemical,/company/PCBL/consolidated/,Jun 2026,True,5.56,5.79,0.23,10.99,11.26,0.27
Sunflag Iron,/company/SUNFLAG/consolidated/,Jun 2026,True,0.54,0.86,0.32,0.04,0.21,0.17
Ram Ratna Wires,/company/RAMRAT/consolidated/,Jun 2026,True,0.17,0.47,0.3,0.44,0.62,0.18
A B Real Estate,/company/ABREL/consolidated/,Jun 2026,True,9.04,9.26,0.22,16.4,16.63,0.23
Vishnu Chemicals,/company/VISHNU/consolidated/,Jun 2026,True,2.3,2.51,0.21,5.72,5.94,0.22
Welspun Living,/company/WELSPUNLIV/consolidated/,Jun 2026,True,4.99,5.21,0.22,11.18,11.38,0.2
Zydus Wellness,/company/ZYDUSWELL/consolidated/,Jun 2026,True,3.17,3.32,0.15,18.87,19.13,0.26
John Cockerill,/company/COCKERILL/consolidated/,Jun 2026,True,0.02,0.32,0.3,0.0,0.11,0.11
Dr Lal Pathlabs,/company/LALPATHLAB/consolidated/,Jun 2026,True,17.18,17.35,0.17,21.37,21.59,0.22
Pix Transmission,/company/PIXTRANS/consolidated/,Jun 2026,True,0.41,0.61,0.2,2.51,2.7,0.19
Fiem Industries,/company/FIEMIND/consolidated/,Jun 2026,True,6.86,7.03,0.17,11.4,11.6,0.2
CARE Ratings,/company/CARERATING/consolidated/,Jun 2026,True,23.25,23.41,0.16,31.38,31.58,0.2
Dynamatic Tech.,/company/DYNAMATECH/consolidated/,Jun 2026,True,10.13,10.26,0.13,15.63,15.86,0.23
Sri Lotus,/company/LOTUSDEV/consolidated/,Jun 2026,True,1.0,1.2,0.2,1.59,1.73,0.14
Arrow Greentech,/company/ARROWGREEN/consolidated/,Jun 2026,True,0.06,0.2,0.14,0.82,0.99,0.17
Glaxosmi. Pharma,/company/GLAXO/consolidated/,Jun 2026,True,4.62,4.79,0.17,7.68,7.81,0.13
Balaji Amines,/company/BALAMINES/consolidated/,Jun 2026,True,2.99,3.17,0.18,1.46,1.58,0.12
Sh. Digvijay Cem,/company/SHREDIGCEM/,Jun 2026,True,0.38,0.5,0.12,1.29,1.42,0.13
Tatva Chintan,/company/TATVA/consolidated/,Jun 2026,True,3.81,3.93,0.12,2.99,3.11,0.12
