screen_stock_name,screen_stock_ticker,peer_name,peer_ticker,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,Debt / Eq,EPS 12M Rs.
Shadowfax Technologies,SHADOWFAX,Mahindra Logis.,MAHLOG,360.35,1418.45,3574.00,,,399.11,,14.14,,0.55,0.23
JTL Industries,JTLIND,APL Apollo Tubes,APLAPOLLO,1876.00,43.29,52076.32,,,20.89,,13.81,,0.09,43.33
JTL Industries,JTLIND,Welspun Corp,WELCORP,1297.90,22.07,34254.40,,,-32.91,,25.43,,0.19,73.77
JTL Industries,JTLIND,Shyam Metalics,SHYAMMETL,886.65,23.12,24744.99,,,45.87,,26.60,,0.09,38.34
JTL Industries,JTLIND,Godawari Power,GPIL,283.30,25.73,19088.16,,,-1.06,,-12.19,,0.04,11.08
JTL Industries,JTLIND,Ratnamani Metals,RATNAMANI,2466.40,35.33,17300.02,,,-52.04,,-36.75,,0.08,68.85
JTL Industries,JTLIND,Gallantt Ispat L,GALLANTT,689.40,34.36,16641.73,,,5.61,,12.37,,0.17,20.07
JTL Industries,JTLIND,Usha Martin,USHAMART,469.25,28.40,14307.57,,,56.00,,9.28,,0.07,15.29
JTL Industries,JTLIND,JTL Industries,JTLIND,66.25,25.81,2541.40,,,104.58,,47.55,,0.16,2.58
Hubtown,HUBTOWN,DLF,DLF,573.15,33.50,141809.94,,,-3.22,,-42.00,,0.01,17.83
Hubtown,HUBTOWN,Lodha Developers,LODHA,857.75,25.00,85694.17,,,9.35,,11.58,,0.42,34.32
Hubtown,HUBTOWN,Phoenix Mills,PHOENIXLTD,1724.60,49.68,61669.81,,,50.04,,21.34,,0.48,34.22
Hubtown,HUBTOWN,Oberoi Realty,OBEROIRLTY,1600.70,23.06,58225.21,,,62.36,,52.14,,0.16,68.96
Hubtown,HUBTOWN,Prestige Estates,PRESTIGE,1342.70,59.54,57778.18,,,1157.63,,134.06,,0.92,22.53
Hubtown,HUBTOWN,Godrej Propert.,GODREJPROP,1686.30,27.22,50822.31,,,70.53,,62.99,,0.83,61.43
Hubtown,HUBTOWN,Anant Raj,ANANTRAJ,476.25,30.89,17140.89,,,23.57,,19.64,,0.12,15.42
Hubtown,HUBTOWN,Hubtown,HUBTOWN,206.32,19.65,2917.39,,,546.18,,65.37,,0.46,10.45
SG Finserve,SGFIN,Bajaj Finance,BAJFINANCE,921.10,29.86,573598.65,,,21.99,,18.10,,3.82,30.56
SG Finserve,SGFIN,Shriram Finance,SHRIRAMFIN,933.70,21.92,219754.08,,,40.94,,9.25,,3.80,53.28
SG Finserve,SGFIN,Muthoot Finance,MUTHOOTFIN,3290.90,12.47,132053.46,,,126.67,,65.23,,3.88,263.79
SG Finserve,SGFIN,Cholaman.Inv.&Fn,CHOLAFIN,1527.90,24.88,130163.51,,,30.62,,19.46,,6.93,61.41
SG Finserve,SGFIN,Tata Capital,TATACAP,302.95,26.35,128556.56,,,42.82,,9.12,,5.15,11.42
SG Finserve,SGFIN,L&T Finance Ltd,LTF,278.75,23.26,69851.87,,,26.79,,18.60,,3.94,11.90
SG Finserve,SGFIN,SBI Cards,SBICARD,624.00,27.41,59384.92,,,14.06,,5.57,,2.80,22.77
SG Finserve,SGFIN,SG Finserve,SGFIN,548.95,28.32,3615.74,,,77.68,,94.88,,1.85,19.56
Smartworks Cowor,SMARTWORKS,International Ge,IGIL,313.30,25.46,13535.42,,,18.25,,20.63,,0.10,12.30
Smartworks Cowor,SMARTWORKS,NESCO,NESCO,1238.70,21.41,8741.01,,,-4.82,,20.03,,0.04,57.95
Smartworks Cowor,SMARTWORKS,Wework India,WEWORK,483.85,28.44,6639.47,,,151.30,,28.95,,22.73,9.74
Smartworks Cowor,SMARTWORKS,Nirlon,NIRLON,604.30,16.59,5455.53,,,18.90,,5.32,,2.47,36.50
Smartworks Cowor,SMARTWORKS,NDR INVIT Trust,NDRINVIT,135.10,37.99,5350.13,,,-10.82,,33.50,,0.38,3.58
Smartworks Cowor,SMARTWORKS,CMS Info Systems,CMSINFO,301.40,16.00,4962.17,,,-20.37,,2.24,,0.09,18.43
Smartworks Cowor,SMARTWORKS,Smartworks Cowor,SMARTWORKS,419.85,451.15,4750.59,,,300.24,,44.99,,9.00,0.92
Godrej Propert.,GODREJPROP,DLF,DLF,573.15,33.50,141809.94,,,-3.22,,-42.00,,0.01,17.83
Godrej Propert.,GODREJPROP,Lodha Developers,LODHA,857.75,25.00,85694.17,,,9.35,,11.58,,0.42,34.32
Godrej Propert.,GODREJPROP,Phoenix Mills,PHOENIXLTD,1724.60,49.68,61669.81,,,50.04,,21.34,,0.48,34.22
Godrej Propert.,GODREJPROP,Oberoi Realty,OBEROIRLTY,1600.70,23.06,58225.21,,,62.36,,52.14,,0.16,68.96
Godrej Propert.,GODREJPROP,Prestige Estates,PRESTIGE,1342.70,59.54,57778.18,,,1157.63,,134.06,,0.92,22.53
Godrej Propert.,GODREJPROP,Godrej Propert.,GODREJPROP,1686.30,27.22,50822.31,,,70.53,,62.99,,0.83,61.43
Godrej Propert.,GODREJPROP,Anant Raj,ANANTRAJ,476.25,30.89,17140.89,,,23.57,,19.64,,0.12,15.42
NACL Industries,NACLIND,UPL,UPL,637.85,28.49,53836.99,,,-0.46,,17.74,,0.68,22.78
NACL Industries,NACLIND,P I Industries,PIIND,3096.30,34.44,47009.69,,,-39.61,,-27.63,,0.02,95.64
NACL Industries,NACLIND,Sumitomo Chemi.,SUMICHEM,449.65,41.43,22471.03,,,2.27,,-11.35,,0.02,10.64
NACL Industries,NACLIND,Bayer Crop Sci.,BAYERCROP,4300.00,28.82,19323.10,,,179.82,,4.62,,0.03,149.17
NACL Industries,NACLIND,Sharda Cropchem,SHARDACROP,901.20,11.93,8121.46,,,56.53,,12.93,,0.00,75.47
NACL Industries,NACLIND,Rallis India,RALLIS,255.60,24.61,4965.91,,,48.98,,6.05,,0.03,9.46
NACL Industries,NACLIND,Dhanuka Agritech,DHANUKA,1085.90,18.51,4905.02,,,-27.33,,-7.94,,0.02,58.78
NACL Industries,NACLIND,NACL Industries,NACLIND,161.11,221.23,3765.27,,,98.91,,79.19,,0.46,0.20
Poonawalla Fin,POONAWALLA,Bajaj Finance,BAJFINANCE,921.10,29.86,573598.65,,,21.99,,18.10,,3.82,30.56
Poonawalla Fin,POONAWALLA,Shriram Finance,SHRIRAMFIN,933.70,21.92,219754.08,,,40.94,,9.25,,3.80,53.28
Poonawalla Fin,POONAWALLA,Muthoot Finance,MUTHOOTFIN,3290.90,12.47,132053.46,,,126.67,,65.23,,3.88,263.79
Poonawalla Fin,POONAWALLA,Cholaman.Inv.&Fn,CHOLAFIN,1527.90,24.88,130163.51,,,30.62,,19.46,,6.93,61.41
Poonawalla Fin,POONAWALLA,Tata Capital,TATACAP,302.95,26.35,128556.56,,,42.82,,9.12,,5.15,11.42
Poonawalla Fin,POONAWALLA,L&T Finance Ltd,LTF,278.75,23.26,69851.87,,,26.79,,18.60,,3.94,11.90
Poonawalla Fin,POONAWALLA,SBI Cards,SBICARD,624.00,27.41,59384.92,,,14.06,,5.57,,2.80,22.77
Poonawalla Fin,POONAWALLA,Poonawalla Fin,POONAWALLA,415.15,67.44,36537.51,,,308.78,,81.39,,4.68,6.67
Sobha,SOBHA,DLF,DLF,573.15,33.50,141809.94,,,-3.22,,-42.00,,0.01,17.83
Sobha,SOBHA,Lodha Developers,LODHA,857.75,25.00,85694.17,,,9.35,,11.58,,0.42,34.32
Sobha,SOBHA,Phoenix Mills,PHOENIXLTD,1724.60,49.68,61669.81,,,50.04,,21.34,,0.48,34.22
Sobha,SOBHA,Oberoi Realty,OBEROIRLTY,1600.70,23.06,58225.21,,,62.36,,52.14,,0.16,68.96
Sobha,SOBHA,Prestige Estates,PRESTIGE,1342.70,59.54,57778.18,,,1157.63,,134.06,,0.92,22.53
Sobha,SOBHA,Godrej Propert.,GODREJPROP,1686.30,27.22,50822.31,,,70.53,,62.99,,0.83,61.43
Sobha,SOBHA,Anant Raj,ANANTRAJ,476.25,30.89,17140.89,,,23.57,,19.64,,0.12,15.42
Sobha,SOBHA,Sobha,SOBHA,1382.20,76.37,14770.21,,,124.77,,60.23,,0.22,18.09
Solara Active,SOLARA,Sun Pharma.Inds.,SUNPHARMA,1905.80,37.64,456827.45,,,18.73,,13.49,,0.07,45.49
Solara Active,SOLARA,Divi's Lab.,DIVISLAB,6835.00,71.62,181431.67,,,8.20,,12.29,,0.01,93.38
Solara Active,SOLARA,Torrent Pharma.,TORNTPHARM,4393.70,64.49,148687.59,,,27.63,,17.59,,0.33,67.13
Solara Active,SOLARA,Cipla,CIPLA,1426.20,28.25,115252.78,,,-54.61,,-2.80,,0.02,48.02
Solara Active,SOLARA,Dr Reddy's Labs,DRREDDY,1331.20,26.47,111088.76,,,-86.14,,-11.51,,0.20,50.27
Solara Active,SOLARA,Lupin,LUPIN,2252.40,17.88,103087.47,,,101.49,,31.89,,0.29,116.65
Solara Active,SOLARA,Mankind Pharma,MANKIND,2495.70,55.46,102992.53,,,29.05,,11.52,,0.55,43.11
Solara Active,SOLARA,Solara Active,SOLARA,561.35,,2032.14,,,516.19,,41.86,,0.55,-2.05
Eternal,ETERNAL,Eternal,ETERNAL,241.40,636.84,233085.10,,,346.15,,196.45,,0.15,0.38
Eternal,ETERNAL,Meesho,MEESHO,190.40,,87345.00,,,-55.96,,47.13,,0.01,-2.97
Eternal,ETERNAL,FSN E-Commerce,NYKAA,272.70,515.84,78102.19,,,178.56,,26.73,,1.01,0.49
Eternal,ETERNAL,Swiggy,SWIGGY,254.10,,70167.04,,,25.99,,44.74,,0.14,-15.05
Eternal,ETERNAL,Urban Company,URBANCO,122.26,,18829.79,,,-5574.65,,42.59,,0.06,-1.52
Eternal,ETERNAL,Brainbees Solut.,FIRSTCRY,216.91,,11314.71,,,-468.42,,11.57,,0.35,-3.58
Eternal,ETERNAL,Cartrade Tech,CARTRADE,1784.10,37.49,8547.80,,,54.50,,19.84,,0.06,46.58
SignatureGlobal,SIGNATURE,DLF,DLF,573.15,33.50,141809.94,,,-3.22,,-42.00,,0.01,17.83
SignatureGlobal,SIGNATURE,Lodha Developers,LODHA,857.75,25.00,85694.17,,,9.35,,11.58,,0.42,34.32
SignatureGlobal,SIGNATURE,Phoenix Mills,PHOENIXLTD,1724.60,49.68,61669.81,,,50.04,,21.34,,0.48,34.22
SignatureGlobal,SIGNATURE,Oberoi Realty,OBEROIRLTY,1600.70,23.06,58225.21,,,62.36,,52.14,,0.16,68.96
SignatureGlobal,SIGNATURE,Prestige Estates,PRESTIGE,1342.70,59.54,57778.18,,,1157.63,,134.06,,0.92,22.53
SignatureGlobal,SIGNATURE,Godrej Propert.,GODREJPROP,1686.30,27.22,50822.31,,,70.53,,62.99,,0.83,61.43
SignatureGlobal,SIGNATURE,Anant Raj,ANANTRAJ,476.25,30.89,17140.89,,,23.57,,19.64,,0.12,15.42
SignatureGlobal,SIGNATURE,SignatureGlobal,SIGNATURE,841.00,329.82,11837.12,,,61.39,,112.76,,1.61,77.90
Windsor Machines,WINDMACHIN,Aditya Infotech,CPPLUS,2417.10,112.18,28471.82,,,138.82,,37.32,,0.08,22.13
Windsor Machines,WINDMACHIN,Honeywell Auto,HONAUT,28685.00,49.45,25355.88,,,-2.51,,7.14,,0.02,571.40
Windsor Machines,WINDMACHIN,Kaynes Tech,KAYNES,3118.20,57.14,20898.60,,,-21.47,,26.22,,0.19,54.28
Windsor Machines,WINDMACHIN,Syrma SGS Tech.,SYRMA,969.95,58.27,18706.36,,,55.84,,58.49,,0.12,16.48
Windsor Machines,WINDMACHIN,LMW,LMW,14658.00,129.21,15677.99,,,5.54,,-1.07,,0.00,107.53
Windsor Machines,WINDMACHIN,Jyoti CNC Auto.,JYOTICNC,681.65,43.74,15500.10,,,10.31,,28.12,,0.40,15.58
Windsor Machines,WINDMACHIN,Tega Inds.,TEGA,1556.00,57.93,11696.51,,,-63.67,,-1.36,,0.21,30.01
Windsor Machines,WINDMACHIN,Windsor Machines,WINDMACHIN,277.10,2006.27,2427.59,,,212.70,,52.82,,0.17,0.07
Kalpat.,KALPATARU,DLF,DLF,573.15,33.50,141809.94,,,-3.22,,-42.00,,0.01,17.83
Kalpat.,KALPATARU,Lodha Developers,LODHA,857.75,25.00,85694.17,,,9.35,,11.58,,0.42,34.32
Kalpat.,KALPATARU,Phoenix Mills,PHOENIXLTD,1724.60,49.68,61669.81,,,50.04,,21.34,,0.48,34.22
Kalpat.,KALPATARU,Oberoi Realty,OBEROIRLTY,1600.70,23.06,58225.21,,,62.36,,52.14,,0.16,68.96
Kalpat.,KALPATARU,Prestige Estates,PRESTIGE,1342.70,59.54,57778.18,,,1157.63,,134.06,,0.92,22.53
Kalpat.,KALPATARU,Godrej Propert.,GODREJPROP,1686.30,27.22,50822.31,,,70.53,,62.99,,0.83,61.43
Kalpat.,KALPATARU,Anant Raj,ANANTRAJ,476.25,30.89,17140.89,,,23.57,,19.64,,0.12,15.42
Kalpat.,KALPATARU,Kalpat.,KALPATARU,322.35,69.80,6628.62,,,1326.83,,183.76,,2.23,4.55
Ideaforge Tech,IDEAFORGE,Bharat Electron,BEL,426.60,52.29,311871.97,,,20.45,,23.97,,0.00,8.16
Ideaforge Tech,IDEAFORGE,Hind.Aeronautics,HAL,4326.50,31.74,289322.42,,,5.52,,1.77,,0.00,136.30
Ideaforge Tech,IDEAFORGE,Bharat Dynamics,BDL,1309.20,82.58,47890.99,,,-50.44,,-31.91,,0.00,15.82
Ideaforge Tech,IDEAFORGE,Garden Reach Sh.,GRSE,2581.70,39.55,29582.70,,,24.14,,29.06,,0.01,65.29
Ideaforge Tech,IDEAFORGE,MTAR Technologie,MTARTECH,7110.50,222.98,21883.56,,,212.25,,67.14,,0.46,30.99
Ideaforge Tech,IDEAFORGE,Data Pattern,DATAPATTNS,3752.20,76.83,21022.85,,,21.30,,-12.96,,0.00,48.47
Ideaforge Tech,IDEAFORGE,Zen Technologies,ZENTEC,1557.00,72.96,14069.07,,,-68.80,,-45.20,,0.01,21.43
Ideaforge Tech,IDEAFORGE,Ideaforge Tech,IDEAFORGE,817.70,,3550.85,,,333.33,,594.44,,0.14,-3.94
Ather Energy,ATHERENERG,Bajaj Auto,BAJAJ-AUTO,10198.50,26.46,285029.39,,,101.63,,41.01,,0.58,384.41
Ather Energy,ATHERENERG,Eicher Motors,EICHERMOT,6913.00,35.07,189436.26,,,25.12,,22.94,,0.02,195.35
Ather Energy,ATHERENERG,TVS Motor Co.,TVSMOTOR,3291.00,51.26,156337.64,,,20.91,,30.42,,3.43,63.53
Ather Energy,ATHERENERG,Hero Motocorp,HEROMOTOCO,4957.00,17.00,99170.41,,,25.72,,30.18,,0.04,286.96
Ather Energy,ATHERENERG,Ather Energy,ATHERENERG,910.35,,34870.39,,,57.23,,73.75,,0.26,-13.51
Ather Energy,ATHERENERG,Ola Electric,OLAELEC,34.93,,15398.40,,,13.65,,-55.02,,0.72,-4.99
Ather Energy,ATHERENERG,Zelio E-Mobility,544563,449.40,45.74,950.48,,,67.66,,77.10,,0.70,12.57
