name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Oriental Aromat.,OAL,/company/OAL/consolidated/,556.90,1874.17,Jun 2026,Mar 2026,,74.17,74.17,0.0,0.0,0.02,0.02,0.0,0.0,0.0,,,,25.83,25.81,-0.02,24382.0,23728.0,-654.0
New India Assura,NIACL,/company/NIACL/consolidated/,187.41,30885.17,Jun 2026,Mar 2026,,85.44,85.44,0.0,1.01,1.02,0.01,11.17,11.17,0.0,,,,2.39,2.36,-0.03,155586.0,166768.0,11182.0
Walchan. Inds.,WALCHANNAG,/company/WALCHANNAG/,199.05,1351.64,Jun 2026,Mar 2026,,31.59,31.59,0.0,0.47,2.38,1.91,0.78,0.49,-0.29,0.02,0.02,0.0,67.14,65.53,-1.61,87168.0,96793.0,9625.0
Pine Labs,PINELABS,/company/PINELABS/consolidated/,197.58,22797.93,Jun 2026,Mar 2026,,,,,4.8,9.49,4.69,11.81,24.82,13.01,,,,83.39,65.68,-17.71,117551.0,178120.0,60569.0
Sunflag Iron,SUNFLAG,/company/SUNFLAG/consolidated/,355.05,6398.69,Jun 2026,Mar 2026,,51.16,51.16,0.0,0.54,0.86,0.32,0.04,0.21,0.17,,,,48.27,47.78,-0.49,56098.0,55328.0,-770.0
Sapphire Foods,SAPPHIRE,/company/SAPPHIRE/consolidated/,237.24,7624.49,Jun 2026,Mar 2026,,26.06,26.06,0.0,28.98,25.25,-3.73,37.49,41.92,4.43,,,,7.46,6.75,-0.71,56668.0,58178.0,1510.0
BF Utilities,BFUTILITIE,/company/BFUTILITIE/,527.45,1986.38,Jun 2026,Mar 2026,,56.73,56.73,0.0,1.57,1.61,0.04,0.05,0.06,0.01,,,,41.65,41.59,-0.06,47824.0,46840.0,-984.0
AXISCADES Tech.,AXISCADES,/company/AXISCADES/consolidated/,1891.10,8043.51,Jun 2026,Mar 2026,,58.05,58.03,-0.02,1.16,1.45,0.29,1.63,1.96,0.33,,,,39.15,38.56,-0.59,43908.0,46002.0,2094.0
NTPC Green Ene.,NTPCGREEN,/company/NTPCGREEN/consolidated/,93.31,78626.08,Jun 2026,Mar 2026,,89.01,89.01,0.0,1.61,1.67,0.06,5.07,5.21,0.14,,,,4.3,4.12,-0.18,1301463.0,1230466.0,-70997.0
Asian Hotels (N),ASIANHOTNR,/company/ASIANHOTNR/,385.10,1641.81,Jun 2026,Mar 2026,,0.0,0.0,0.0,2.58,2.58,0.0,1.69,1.97,0.28,,,,95.73,95.45,-0.28,9287.0,9250.0,-37.0
Religare Enterp.,RELIGARE,/company/RELIGARE/consolidated/,249.17,8589.73,Jun 2026,Mar 2026,,30.27,30.55,0.28,7.85,9.64,1.79,8.52,9.33,0.81,,,,53.36,50.49,-2.87,73411.0,69935.0,-3476.0
Hind.Oil Explor.,HINDOILEXP,/company/HINDOILEXP/consolidated/,174.83,2312.01,Jun 2026,Mar 2026,,,,,1.49,1.88,0.39,0.12,0.13,0.01,,,,98.38,97.99,-0.39,94700.0,90352.0,-4348.0
Info Edg.(India),NAUKRI,/company/NAUKRI/consolidated/,1304.00,84554.05,Jun 2026,Mar 2026,,37.5,37.48,-0.02,27.97,23.72,-4.25,23.43,27.83,4.4,0.66,0.0,-0.66,10.34,10.9,0.56,236961.0,257916.0,20955.0
Prataap Snacks,DIAMONDYD,/company/DIAMONDYD/,1090.30,2609.08,Jun 2026,Mar 2026,,55.59,56.77,1.18,4.79,4.38,-0.41,7.21,7.35,0.14,,,,32.41,31.5,-0.91,13902.0,13162.0,-740.0
Niva Bupa Health,NIVABUPA,/company/NIVABUPA/,80.83,14947.36,Jun 2026,Mar 2026,,55.36,55.3,-0.06,10.6,12.09,1.49,16.49,16.17,-0.32,,,,17.56,16.44,-1.12,135343.0,126567.0,-8776.0
Bajaj Hindusthan,BAJAJHIND,/company/BAJAJHIND/consolidated/,20.29,4850.66,Jun 2026,Mar 2026,,13.42,13.33,-0.09,1.14,1.14,0.0,50.41,50.67,0.26,,,,34.95,34.78,-0.17,765300.0,754171.0,-11129.0
NMDC Steel,NSLNISP,/company/NSLNISP/,42.51,12458.01,Jun 2026,Mar 2026,,60.79,60.79,0.0,4.85,5.48,0.63,15.85,15.78,-0.07,,,,18.5,17.93,-0.57,721360.0,711902.0,-9458.0
