name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
BSE,BSE,/company/BSE/consolidated/,3235.00,131950.50,Jun 2026,Mar 2026,,,,,19.42,21.32,1.9,25.09,24.15,-0.94,0.09,0.09,0.0,55.4,54.45,-0.95,975435.0,999275.0,23840.0
Anand Rathi Wea.,ANANDRATHI,/company/ANANDRATHI/,2179.00,36180.39,Jun 2026,Mar 2026,,43.11,41.37,-1.74,5.78,6.37,0.59,9.1,10.4,1.3,0.0,0.0,0.0,42.01,41.86,-0.15,64931.0,80729.0,15798.0
Ingersoll-Rand,INGERRAND,/company/INGERRAND/,4146.70,13090.30,Jun 2026,Mar 2026,,75.0,75.0,0.0,1.3,1.28,-0.02,8.21,8.96,0.75,,,,15.49,14.75,-0.74,37773.0,37829.0,56.0
NINtec Systems,NINSYS,/company/NINSYS/consolidated/,711.05,1320.85,Jun 2026,Mar 2026,,47.48,47.6,0.12,0.0,0.01,0.01,0.0,0.01,0.01,,,,52.51,52.36,-0.15,8312.0,6918.0,-1394.0
Shilchar Tech.,SHILCTECH,/company/SHILCTECH/,3989.00,4563.50,Jun 2026,Mar 2026,,62.12,62.12,0.0,2.55,2.57,0.02,1.91,1.95,0.04,0.0,0.0,0.0,33.43,33.37,-0.06,43953.0,43353.0,-600.0
Cams Services,CAMS,/company/CAMS/,704.00,17488.65,Jun 2026,Mar 2026,,0.0,0.0,0.0,44.44,44.88,0.44,22.06,23.54,1.48,0.01,0.01,0.0,33.5,31.56,-1.94,542124.0,526029.0,-16095.0
Kernex Microsys.,KERNEX,/company/KERNEX/consolidated/,1744.70,2931.73,Jun 2026,Mar 2026,,28.85,28.73,-0.12,0.3,2.48,2.18,0.02,0.05,0.03,0.06,0.06,0.0,70.78,68.69,-2.09,41511.0,41803.0,292.0
Marico,MARICO,/company/MARICO/consolidated/,830.00,107915.64,Jun 2026,Mar 2026,,58.93,58.92,-0.01,24.08,23.4,-0.68,12.17,12.87,0.7,0.13,0.15,0.02,4.49,4.49,0.0,287764.0,293560.0,5796.0
Oracle Fin.Serv.,OFSS,/company/OFSS/consolidated/,10989.00,95695.65,Jun 2026,Mar 2026,,72.44,72.41,-0.03,8.04,9.7,1.66,9.12,8.79,-0.33,0.0,0.0,0.0,10.38,9.08,-1.3,141643.0,125043.0,-16600.0
Nippon Life Ind.,NAM-INDIA,/company/NAM-INDIA/consolidated/,1159.00,74180.87,Jun 2026,Mar 2026,,71.93,71.8,-0.13,7.35,7.04,-0.31,14.77,15.49,0.72,,,,5.95,5.67,-0.28,208596.0,200154.0,-8442.0
Travel Food,TRAVELFOOD,/company/TRAVELFOOD/consolidated/,1230.30,16204.30,Jun 2026,Mar 2026,,86.19,86.19,0.0,1.55,1.65,0.1,9.71,10.02,0.31,,,,2.54,2.15,-0.39,54057.0,52997.0,-1060.0
V-Marc India,VMARCIND,/company/VMARCIND/,331.70,4860.21,Jul 2026,Jun 2026,,64.87,64.87,0.0,0.26,0.25,-0.01,0.02,0.02,0.0,,,,34.85,34.86,0.01,3330.0,3420.0,90.0
Hawkins Cookers,HAWKINCOOK,/company/HAWKINCOOK/,8009.50,4237.03,Jun 2026,Mar 2026,,56.03,56.03,0.0,2.74,2.74,0.0,15.82,16.03,0.21,0.02,0.0,-0.02,25.39,25.18,-0.21,18840.0,17574.0,-1266.0
Jubilant Agri,JUBLCPL,/company/JUBLCPL/consolidated/,2099.10,3180.66,Jun 2026,Mar 2026,,74.36,74.36,0.0,0.27,0.22,-0.05,0.14,0.23,0.09,,,,25.24,25.2,-0.04,18327.0,18430.0,103.0
Valiant Commun.,526775,/company/526775/consolidated/,1428.75,1670.51,Jun 2026,Mar 2026,,40.62,39.65,-0.97,0.98,0.96,-0.02,1.58,3.28,1.7,,,,56.81,56.11,-0.7,7950.0,9281.0,1331.0
Natl. Aluminium,NATIONALUM,/company/NATIONALUM/consolidated/,352.20,64686.17,Jun 2026,Mar 2026,,51.28,51.28,0.0,22.27,21.99,-0.28,10.75,11.22,0.47,,,,15.69,15.52,-0.17,969058.0,948915.0,-20143.0
Cummins India,CUMMINSIND,/company/CUMMINSIND/consolidated/,4962.50,137560.50,Jun 2026,Mar 2026,,51.0,51.0,0.0,20.77,21.19,0.42,19.43,19.06,-0.37,0.1,0.1,0.0,8.68,8.65,-0.03,161993.0,173450.0,11457.0
MPS,MPSLTD,/company/MPSLTD/consolidated/,2603.20,4452.99,Jun 2026,Mar 2026,,68.34,68.34,0.0,1.47,1.38,-0.09,1.96,2.14,0.18,,,,27.41,27.31,-0.1,25010.0,25565.0,555.0
Waaree Energies,WAAREEENER,/company/WAAREEENER/consolidated/,2494.80,71763.26,Jun 2026,Mar 2026,,64.19,64.12,-0.07,7.06,8.57,1.51,4.32,4.08,-0.24,,,,24.44,23.23,-1.21,683301.0,731601.0,48300.0
Euro Pratik Sale,EUROPRATIK,/company/EUROPRATIK/consolidated/,218.45,2232.56,Jun 2026,Mar 2026,,70.49,73.91,3.42,0.49,0.55,0.06,4.61,4.48,-0.13,,,,24.43,21.06,-3.37,27826.0,26366.0,-1460.0
Solar Industries,SOLARINDS,/company/SOLARINDS/consolidated/,19890.00,179984.72,Jun 2026,Mar 2026,,73.15,73.15,0.0,6.59,6.39,-0.2,12.89,13.36,0.47,,,,7.35,7.1,-0.25,115917.0,116877.0,960.0
R M Drip & Sprin,RMDRIP,/company/RMDRIP/,23.72,1015.76,Jun 2026,Mar 2026,,21.06,21.06,0.0,3.85,4.24,0.39,0.1,0.1,0.0,,,,75.0,74.6,-0.4,44653.0,42996.0,-1657.0
Netweb Technol.,NETWEB,/company/NETWEB/,4817.00,28635.88,Jun 2026,Mar 2026,,66.98,66.98,0.0,9.29,9.27,-0.02,4.68,5.91,1.23,,,,19.03,17.84,-1.19,243292.0,246932.0,3640.0
Billionbrains,GROWW,/company/GROWW/consolidated/,189.18,118683.90,Jun 2026,Mar 2026,,27.38,27.14,-0.24,2.51,6.89,4.38,5.92,10.08,4.16,,,,62.88,54.78,-8.1,706903.0,767929.0,61026.0
Shukra Pharma.,SHUKRAPHAR,/company/SHUKRAPHAR/,58.59,2582.57,Aug 2026,Jun 2026,,50.95,51.16,0.21,,,,0.11,0.11,0.0,,,,48.93,48.74,-0.19,28384.0,28384.0,0.0
Gokul Agro,GOKULAGRO,/company/GOKULAGRO/consolidated/,221.15,6525.84,Jun 2026,Mar 2026,,74.24,74.24,0.0,1.51,1.87,0.36,0.09,0.11,0.02,,,,24.18,23.78,-0.4,52418.0,50407.0,-2011.0
KP Green Engg.,544150,/company/544150/,297.30,1486.50,Mar 2026,Sep 2025,,66.61,66.61,0.0,0.34,0.35,0.01,0.1,0.13,0.03,,,,32.95,32.92,-0.03,8704.0,9011.0,307.0
Sathlokhar Sys.,SSEGL,/company/SSEGL/,386.85,1004.98,Jun 2026,Mar 2026,,58.27,58.27,0.0,0.28,0.28,0.0,1.65,2.02,0.37,,,,39.81,39.43,-0.38,5655.0,5583.0,-72.0
Vikram Thermo,530477,/company/530477/,386.05,1210.57,Jun 2026,Mar 2026,,66.01,66.01,0.0,,,,0.0,0.26,0.26,,,,34.0,33.74,-0.26,11739.0,12055.0,316.0
Tata Motors,TMCV,/company/TMCV/consolidated/,440.10,162079.56,Jun 2026,Mar 2026,,42.56,42.56,0.0,19.03,18.58,-0.45,17.58,18.19,0.61,0.31,0.31,0.0,20.49,20.34,-0.15,5705074.0,5545816.0,-159258.0
Indrapr.Medical,INDRAMEDCO,/company/INDRAMEDCO/,360.95,3308.94,Jun 2026,Mar 2026,,51.0,51.0,0.0,2.43,2.77,0.34,0.87,0.59,-0.28,,,,45.69,45.65,-0.04,72980.0,75098.0,2118.0
C P C L,CHENNPETRO,/company/CHENNPETRO/consolidated/,1392.00,20728.47,Jun 2026,Mar 2026,,67.29,67.29,0.0,12.59,14.98,2.39,2.11,1.01,-1.1,,,,18.0,16.71,-1.29,154303.0,149620.0,-4683.0
Monolithisch Ind,MONOLITH,/company/MONOLITH/consolidated/,1282.55,2787.75,Jun 2026,Mar 2026,,74.27,74.27,0.0,1.31,1.79,0.48,2.61,2.82,0.21,,,,21.81,21.12,-0.69,1658.0,2102.0,444.0
Sika Interplant,SIKA,/company/SIKA/consolidated/,1062.80,2253.23,Jun 2026,Mar 2026,,71.72,71.72,0.0,3.21,3.25,0.04,0.04,0.04,0.0,,,,25.04,24.98,-0.06,25730.0,26959.0,1229.0
Ajanta Pharma,AJANTPHARM,/company/AJANTPHARM/consolidated/,3519.30,43976.83,Jun 2026,Mar 2026,,66.25,63.49,-2.76,8.26,7.68,-0.58,18.36,21.8,3.44,0.01,0.0,-0.01,7.14,7.03,-0.11,67955.0,65296.0,-2659.0
Suzlon Energy,SUZLON,/company/SUZLON/consolidated/,43.00,58634.92,Jun 2026,Mar 2026,,11.73,11.7,-0.03,23.85,24.15,0.3,9.18,11.12,1.94,0.0,0.0,0.0,55.23,53.02,-2.21,5695354.0,5536345.0,-159009.0
TD Power Systems,TDPOWERSYS,/company/TDPOWERSYS/consolidated/,756.40,23728.79,Jun 2026,Mar 2026,,26.87,26.87,0.0,26.69,26.18,-0.51,22.24,23.88,1.64,,,,24.2,23.07,-1.13,115089.0,134081.0,18992.0
Cupid,CUPID,/company/CUPID/,258.20,34719.14,Jun 2026,Mar 2026,,46.03,46.24,0.21,1.01,4.17,3.16,0.17,0.34,0.17,,,,52.79,49.23,-3.56,209610.0,295432.0,85822.0
Afcom Holdings,544224,/company/544224/,1408.80,4073.35,Jun 2026,Mar 2026,,40.61,35.84,-4.77,0.05,0.68,0.63,0.85,7.96,7.11,,,,58.49,55.52,-2.97,6454.0,6978.0,524.0
Corona Remedies,CORONA,/company/CORONA/,2181.50,13342.07,Jun 2026,Mar 2026,,69.0,69.0,0.0,2.25,3.63,1.38,7.02,12.9,5.88,,,,21.75,14.47,-7.28,19609.0,20185.0,576.0
Polycab India,POLYCAB,/company/POLYCAB/consolidated/,8350.00,125831.55,Jun 2026,Mar 2026,,61.5,61.46,-0.04,18.21,19.0,0.79,7.95,7.62,-0.33,,,,12.33,11.92,-0.41,362997.0,356777.0,-6220.0
Prec. Wires (I),PRECWIRE,/company/PRECWIRE/,491.10,8977.70,Jun 2026,Mar 2026,,56.61,56.61,0.0,1.65,2.47,0.82,0.11,0.15,0.04,,,,41.63,40.77,-0.86,62834.0,67461.0,4627.0
Saatvik Green,SAATVIKGL,/company/SAATVIKGL/consolidated/,446.75,5678.42,Jun 2026,Mar 2026,,75.99,75.99,0.0,0.03,0.19,0.16,10.52,10.97,0.45,,,,13.46,12.84,-0.62,78073.0,69254.0,-8819.0
Cemindia Project,CEMPRO,/company/CEMPRO/consolidated/,1319.30,22663.94,Jun 2026,Mar 2026,,67.46,67.46,0.0,7.31,7.26,-0.05,1.94,2.86,0.92,,,,23.28,22.4,-0.88,90782.0,90808.0,26.0
Premier Energies,PREMIERENE,/company/PREMIERENE/consolidated/,907.20,41182.48,Jun 2026,Mar 2026,,63.94,58.48,-5.46,5.72,7.92,2.2,13.69,17.97,4.28,,,,16.28,15.07,-1.21,364141.0,338684.0,-25457.0
Steelcast,STEELCAS,/company/STEELCAS/,350.15,3543.52,Jun 2026,Mar 2026,,45.0,45.0,0.0,0.25,0.29,0.04,2.53,2.55,0.02,,,,52.23,52.17,-0.06,14580.0,16225.0,1645.0
LG Electronics,LGEINDIA,/company/LGEINDIA/,1663.70,112927.36,Jun 2026,Mar 2026,,85.0,85.0,0.0,2.73,3.13,0.4,8.03,7.84,-0.19,,,,4.25,4.03,-0.22,973763.0,919561.0,-54202.0
Aditya AMC,ABSLAMC,/company/ABSLAMC/consolidated/,1027.00,29718.83,Jun 2026,Mar 2026,,74.82,74.72,-0.1,5.75,4.41,-1.34,11.55,14.26,2.71,0.03,0.03,0.0,7.85,6.58,-1.27,244638.0,236462.0,-8176.0
Hind.Aeronautics,HAL,/company/HAL/consolidated/,4800.00,321012.00,Jun 2026,Mar 2026,,71.64,71.64,0.0,10.21,9.34,-0.87,10.43,11.9,1.47,0.07,0.07,0.0,7.66,7.03,-0.63,1291771.0,1211981.0,-79790.0
Apar Inds.,APARINDS,/company/APARINDS/consolidated/,18233.00,76345.83,Aug 2026,Jun 2026,,57.76,55.42,-2.34,10.76,11.36,0.6,23.02,24.88,1.86,,,,8.47,8.34,-0.13,95279.0,97938.0,2659.0
APL Apollo Tubes,APLAPOLLO,/company/APLAPOLLO/consolidated/,2195.00,60946.02,Jun 2026,Mar 2026,,28.25,28.25,0.0,37.52,35.12,-2.4,16.05,18.58,2.53,,,,18.18,18.04,-0.14,158128.0,158947.0,819.0
Acutaas Chemical,ACUTAAS,/company/ACUTAAS/consolidated/,3213.70,26310.92,Jun 2026,Mar 2026,,32.66,32.66,0.0,19.48,21.61,2.13,19.6,19.55,-0.05,0.01,0.01,0.0,28.24,26.16,-2.08,112939.0,125569.0,12630.0
Quality Power El,QPOWER,/company/QPOWER/consolidated/,1491.60,11551.56,Jun 2026,Mar 2026,,73.91,73.91,0.0,2.28,3.37,1.09,5.97,6.45,0.48,,,,17.85,16.28,-1.57,73930.0,85706.0,11776.0
Inventurus Knowl,IKS,/company/IKS/consolidated/,1869.20,32087.28,Jun 2026,Mar 2026,,63.72,63.72,0.0,8.19,8.01,-0.18,6.4,7.5,1.1,,,,19.39,18.55,-0.84,60385.0,63025.0,2640.0
Meghna Infracon,MIIL,/company/MIIL/consolidated/,710.45,1543.36,Jun 2026,Mar 2026,,47.01,47.01,0.0,7.89,7.98,0.09,,,,,,,45.09,45.02,-0.07,2596.0,2520.0,-76.0
Pidilite Inds.,PIDILITIND,/company/PIDILITIND/consolidated/,1572.70,160185.81,Jun 2026,Mar 2026,,69.32,69.24,-0.08,11.75,11.69,-0.06,9.56,9.81,0.25,0.08,0.09,0.01,9.29,9.18,-0.11,520440.0,509811.0,-10629.0
DDev Plastiks,DDEVPLSTIK,/company/DDEVPLSTIK/,260.45,2695.05,Jun 2026,Mar 2026,,74.99,74.99,0.0,0.9,1.47,0.57,0.64,0.09,-0.55,,,,23.48,23.46,-0.02,33725.0,33896.0,171.0
Modison,MODISONLTD,/company/MODISONLTD/consolidated/,468.25,1519.47,Jun 2026,Mar 2026,,52.16,52.23,0.07,0.48,0.92,0.44,0.0,0.0,0.0,,,,47.35,46.84,-0.51,21079.0,21401.0,322.0
SML Mahindra,SMLMAH,/company/SMLMAH/,6719.50,9723.12,Jun 2026,Mar 2026,,58.97,58.97,0.0,0.77,1.24,0.47,1.56,2.43,0.87,,,,38.71,37.35,-1.36,39068.0,41457.0,2389.0
SKM Egg Prod.,SKMEGGPROD,/company/SKMEGGPROD/consolidated/,221.25,1165.10,Jun 2026,Mar 2026,,57.47,57.47,0.0,0.49,1.29,0.8,0.36,0.21,-0.15,,,,41.68,41.02,-0.66,29817.0,31227.0,1410.0
Engineers India,ENGINERSIN,/company/ENGINERSIN/consolidated/,302.55,17004.59,Jun 2026,Mar 2026,,51.32,51.32,0.0,9.66,9.17,-0.49,12.19,14.22,2.03,0.04,0.04,0.0,26.79,25.24,-1.55,421564.0,390132.0,-31432.0
Kirl.Pneumatic,KIRLPNU,/company/KIRLPNU/,706.80,9183.20,Jun 2026,Mar 2026,,38.81,38.81,0.0,9.56,10.39,0.83,26.53,25.97,-0.56,0.03,0.0,-0.03,25.08,24.81,-0.27,61484.0,64033.0,2549.0
Raghav Product.,RPEL,/company/RPEL/consolidated/,1742.30,8000.98,Jun 2026,Mar 2026,,62.91,62.89,-0.02,0.36,0.81,0.45,0.0,0.01,0.01,,,,36.73,36.28,-0.45,12868.0,14899.0,2031.0
MSTC,MSTCLTD,/company/MSTCLTD/consolidated/,746.95,5258.53,Jun 2026,Mar 2026,,64.75,64.75,0.0,3.93,4.91,0.98,1.2,1.29,0.09,,,,30.11,29.06,-1.05,92581.0,87424.0,-5157.0
Godfrey Phillips,GODFRYPHLP,/company/GODFRYPHLP/consolidated/,1970.00,30728.41,Jun 2026,Mar 2026,,72.58,72.58,0.0,7.91,7.8,-0.11,3.28,3.66,0.38,0.02,0.02,0.0,16.2,15.93,-0.27,166845.0,156601.0,-10244.0
Shaily Engineer.,SHAILY,/company/SHAILY/,3168.80,14574.97,Jun 2026,Mar 2026,,43.39,41.09,-2.3,16.73,18.18,1.45,10.61,14.84,4.23,,,,29.27,25.89,-3.38,52325.0,56755.0,4430.0
Hexaware Tech.,HEXT,/company/HEXT/consolidated/,504.20,30807.43,Jun 2026,Mar 2026,,74.3,74.3,0.0,4.2,3.19,-1.01,15.04,16.06,1.02,,,,6.18,6.23,0.05,118229.0,126681.0,8452.0
Bajaj Consumer,BAJAJCON,/company/BAJAJCON/consolidated/,513.75,6710.52,Jun 2026,Mar 2026,,42.97,42.97,0.0,16.59,16.11,-0.48,14.27,14.91,0.64,,,,26.17,25.99,-0.18,118576.0,122807.0,4231.0
A B B,ABB,/company/ABB/,7120.50,150889.36,Jun 2026,Mar 2026,,75.0,75.0,0.0,8.19,7.67,-0.52,9.28,9.89,0.61,,,,7.5,7.44,-0.06,181528.0,183577.0,2049.0
Lupin,LUPIN,/company/LUPIN/consolidated/,2135.00,97631.41,Jun 2026,Mar 2026,,46.85,46.85,0.0,21.7,22.42,0.72,25.32,24.65,-0.67,0.0,0.0,0.0,6.13,6.08,-0.05,290411.0,300283.0,9872.0
I T D C,ITDC,/company/ITDC/consolidated/,705.75,6053.18,Jun 2026,Mar 2026,,87.03,87.03,0.0,0.02,0.03,0.01,1.78,1.78,0.0,,,,11.17,11.16,-0.01,30734.0,32454.0,1720.0
Benares Hotels,BENARAS,/company/BENARAS/,10254.00,1333.02,Jun 2026,Mar 2026,,62.58,62.58,0.0,0.02,0.02,0.0,0.01,0.05,0.04,,,,37.41,37.35,-0.06,6647.0,6717.0,70.0
Dynacons Sys.,DSSL,/company/DSSL/,1022.20,1301.98,Jun 2026,Mar 2026,,60.89,60.89,0.0,0.37,1.08,0.71,0.3,0.28,-0.02,,,,38.45,37.74,-0.71,43055.0,41418.0,-1637.0
Schneider Elect.,SCHNEIDER,/company/SCHNEIDER/,1214.20,29031.52,Jun 2026,Mar 2026,,75.0,75.0,0.0,3.18,3.42,0.24,4.07,4.65,0.58,,,,17.74,16.91,-0.83,106662.0,117705.0,11043.0
Arrow Greentech,ARROWGREEN,/company/ARROWGREEN/consolidated/,913.05,1377.60,Jun 2026,Mar 2026,,64.83,65.65,0.82,0.06,0.2,0.14,0.82,0.99,0.17,,,,34.28,33.16,-1.12,21442.0,20487.0,-955.0
Kamdhenu,KAMDHENU,/company/KAMDHENU/,41.51,1170.10,Jun 2026,Mar 2026,,49.03,49.03,0.0,1.88,2.06,0.18,0.01,0.03,0.02,,,,49.08,48.89,-0.19,50779.0,48824.0,-1955.0
Hitachi Energy,POWERINDIA,/company/POWERINDIA/,31415.00,140024.08,Jun 2026,Mar 2026,,71.31,71.31,0.0,11.68,12.44,0.76,6.95,6.32,-0.63,,,,10.07,9.91,-0.16,90555.0,102826.0,12271.0
Fiem Industries,FIEMIND,/company/FIEMIND/consolidated/,1906.70,5018.37,Jun 2026,Mar 2026,,54.51,54.51,0.0,6.86,7.03,0.17,11.4,11.6,0.2,,,,27.22,26.86,-0.36,73826.0,75296.0,1470.0
NBCC,NBCC,/company/NBCC/consolidated/,81.90,22113.00,Jun 2026,Mar 2026,,61.75,61.75,0.0,4.99,4.77,-0.22,10.75,11.28,0.53,,,,22.5,22.2,-0.3,1277277.0,1226689.0,-50588.0
Astrazeneca Phar,ASTRAZEN,/company/ASTRAZEN/,6711.50,16778.75,Jun 2026,Mar 2026,,75.0,75.0,0.0,2.78,2.68,-0.1,5.79,6.08,0.29,,,,16.42,16.24,-0.18,29007.0,29338.0,331.0
Sunrakshakk Inds,SUNRAKSHAK,/company/SUNRAKSHAK/consolidated/,364.85,1131.28,Jun 2026,Mar 2026,,69.66,69.66,0.0,,,,0.0,3.95,3.95,,,,30.35,26.39,-3.96,3619.0,3792.0,173.0
Utssav CZ Gold,UTSSAV,/company/UTSSAV/,652.35,1575.29,Aug 2026,Mar 2026,,70.3,72.55,2.25,0.36,0.01,-0.35,0.0,0.0,0.0,,,,29.33,27.43,-1.9,2301.0,1587.0,-714.0
SJS Enterprises,SJS,/company/SJS/consolidated/,2310.80,7452.22,Jun 2026,Mar 2026,,21.15,20.15,-1.0,15.68,14.67,-1.01,31.09,34.04,2.95,,,,32.06,31.15,-0.91,75411.0,74050.0,-1361.0
Trent,TRENT,/company/TRENT/consolidated/,2782.90,148393.22,Jun 2026,Mar 2026,,37.01,37.01,0.0,15.59,15.14,-0.45,22.19,23.07,0.88,0.17,0.19,0.02,25.03,24.57,-0.46,512623.0,520340.0,7717.0
Dr Lal Pathlabs,LALPATHLAB,/company/LALPATHLAB/consolidated/,1909.80,32055.77,Jun 2026,Mar 2026,,53.21,53.19,-0.02,17.18,17.35,0.17,21.37,21.59,0.22,0.01,0.01,0.0,7.88,7.48,-0.4,114527.0,111037.0,-3490.0
Seshaasai Tech.,STYL,/company/STYL/,361.25,5845.24,Jun 2026,Mar 2026,,81.8,81.8,0.0,0.33,0.29,-0.04,7.05,7.74,0.69,,,,10.83,10.17,-0.66,81803.0,80072.0,-1731.0
Advait Energy,ADVAIT,/company/ADVAIT/consolidated/,2005.60,2196.21,Jun 2026,Mar 2026,,66.8,66.76,-0.04,0.21,0.68,0.47,0.13,0.04,-0.09,,,,32.84,32.51,-0.33,33066.0,33709.0,643.0
Nitta Gelatin,NITTAGELA,/company/NITTAGELA/consolidated/,1700.10,1543.69,Jun 2026,Mar 2026,,74.49,74.49,0.0,0.0,0.05,0.05,0.93,0.95,0.02,,,,24.59,24.51,-0.08,10551.0,11285.0,734.0
Monarch Networth,MONARCH,/company/MONARCH/consolidated/,366.90,2909.82,Jun 2026,Mar 2026,,53.86,53.83,-0.03,1.47,2.77,1.3,0.15,0.15,0.0,,,,44.51,43.19,-1.32,19072.0,18430.0,-642.0
NMDC,NMDC,/company/NMDC/consolidated/,80.20,70510.38,Jun 2026,Mar 2026,,60.79,60.79,0.0,13.6,13.59,-0.01,13.76,13.8,0.04,,,,11.84,11.8,-0.04,1130914.0,1129202.0,-1712.0
Lloyds Metals,LLOYDSME,/company/LLOYDSME/consolidated/,1857.40,104580.71,Jun 2026,Mar 2026,,61.65,61.63,-0.02,2.26,1.85,-0.41,1.71,2.18,0.47,,,,34.35,34.27,-0.08,119530.0,126658.0,7128.0
Krishana Phosch.,KRISHANA,/company/KRISHANA/,189.55,5859.71,Jun 2026,Mar 2026,,72.94,72.93,-0.01,0.26,0.37,0.11,0.0,0.03,0.03,,,,26.8,26.67,-0.13,12975.0,19162.0,6187.0
Nazara Technolo.,NAZARA,/company/NAZARA/consolidated/,370.45,14217.72,Aug 2026,Jun 2026,,34.25,33.98,-0.27,13.23,15.51,2.28,2.39,2.47,0.08,,,,50.13,48.04,-2.09,101367.0,100544.0,-823.0
Sky Gold & Diam.,SKYGOLD,/company/SKYGOLD/consolidated/,802.55,12429.40,Jun 2026,Mar 2026,,51.74,51.74,0.0,1.2,2.79,1.59,13.14,14.2,1.06,,,,33.91,31.27,-2.64,89118.0,81880.0,-7238.0
ASM Technologies,526433,/company/526433/consolidated/,6948.85,10136.05,Jun 2026,Mar 2026,,57.96,57.65,-0.31,0.23,0.49,0.26,0.43,0.72,0.29,,,,41.39,41.13,-0.26,28455.0,28766.0,311.0
CG Power & Ind,CGPOWER,/company/CGPOWER/consolidated/,896.10,141177.72,Jun 2026,Mar 2026,,56.36,56.36,0.0,12.03,11.97,-0.06,18.01,18.23,0.22,0.07,0.07,0.0,13.53,13.37,-0.16,521349.0,533530.0,12181.0
Disa India,DISAQ,/company/DISAQ/consolidated/,12185.00,1771.95,Jun 2026,Mar 2026,,74.82,74.82,0.0,0.02,0.02,0.0,8.27,8.31,0.04,,,,16.9,16.86,-0.04,4668.0,4735.0,67.0
Stylam Industrie,STYLAMIND,/company/STYLAMIND/,3309.40,5608.79,Jun 2026,Mar 2026,,54.1,56.86,2.76,2.81,2.62,-0.19,13.31,12.14,-1.17,,,,29.78,28.39,-1.39,31776.0,31135.0,-641.0
Neuland Labs.,NEULANDLAB,/company/NEULANDLAB/consolidated/,22550.00,28931.40,Jun 2026,Mar 2026,,32.63,32.62,-0.01,20.46,21.08,0.62,15.84,16.52,0.68,0.0,0.0,0.0,31.08,29.79,-1.29,46304.0,44340.0,-1964.0
United Spirits,UNITDSPR,/company/UNITDSPR/consolidated/,1398.00,101683.65,Jun 2026,Mar 2026,,56.68,56.68,0.0,14.41,12.89,-1.52,15.36,17.14,1.78,0.01,0.01,0.0,13.54,13.29,-0.25,292661.0,293859.0,1198.0
Shreeji Ship. Gl,SHREEJISPG,/company/SHREEJISPG/consolidated/,719.35,11719.52,Jun 2026,Mar 2026,,90.0,90.0,0.0,0.22,0.46,0.24,1.14,1.08,-0.06,,,,8.65,8.46,-0.19,27548.0,26167.0,-1381.0
Asian Paints,ASIANPAINT,/company/ASIANPAINT/consolidated/,2448.50,234859.58,Jun 2026,Mar 2026,,52.63,52.63,0.0,12.11,13.32,1.21,21.74,20.7,-1.04,0.07,0.07,0.0,13.39,13.19,-0.2,1001799.0,959219.0,-42580.0
Tanla Platforms,TANLA,/company/TANLA/consolidated/,485.35,6437.39,Jun 2026,Mar 2026,,46.17,46.17,0.0,7.6,7.63,0.03,0.28,0.38,0.1,,,,45.48,45.35,-0.13,273754.0,264765.0,-8989.0
CARE Ratings,CARERATING,/company/CARERATING/consolidated/,1627.80,4902.68,Jun 2026,Mar 2026,,,,,23.25,23.41,0.16,31.38,31.58,0.2,,,,45.37,45.01,-0.36,58978.0,58466.0,-512.0
KMC Speciality,KMCSHIL,/company/KMCSHIL/,159.61,2603.24,Jun 2026,Mar 2026,,75.0,75.0,0.0,0.0,0.02,0.02,,,,,,,25.01,24.98,-0.03,86318.0,88487.0,2169.0
D-Link India,DLINKINDIA,/company/DLINKINDIA/consolidated/,423.55,1503.81,Jun 2026,Mar 2026,,51.02,51.02,0.0,1.26,1.35,0.09,0.01,0.01,0.0,,,,47.71,47.62,-0.09,72775.0,73430.0,655.0
Goldiam Intl.,GOLDIAM,/company/GOLDIAM/consolidated/,319.80,4814.82,Jul 2026,Jun 2026,,58.51,58.51,0.0,1.99,2.18,0.19,0.78,0.06,-0.72,,,,38.72,39.25,0.53,75143.0,75383.0,240.0
RPG LifeScience.,RPGLIFE,/company/RPGLIFE/,2746.90,4543.10,Jun 2026,Mar 2026,,72.95,72.95,0.0,0.87,0.95,0.08,7.45,8.68,1.23,,,,18.72,17.42,-1.3,25282.0,23886.0,-1396.0
Gabriel India,GABRIEL,/company/GABRIEL/consolidated/,1471.40,26077.63,Sep 2026,Jun 2026,,63.55,66.29,2.74,6.35,6.0,-0.35,12.92,11.91,-1.01,,,,17.17,15.8,-1.37,134530.0,136534.0,2004.0
Menon Bearings,MENONBE,/company/MENONBE/consolidated/,306.70,1718.75,Jun 2026,Mar 2026,,68.44,68.44,0.0,0.21,0.14,-0.07,0.03,0.4,0.37,,,,31.31,31.03,-0.28,25436.0,24403.0,-1033.0
Thangamayil Jew.,THANGAMAYL,/company/THANGAMAYL/,5119.50,15912.44,Jun 2026,Mar 2026,,61.61,61.61,0.0,4.37,5.54,1.17,17.41,16.43,-0.98,,,,16.61,16.43,-0.18,48097.0,51026.0,2929.0
